claim_year,model,avg_mb_men,avg_mb_women,n_awarded_men,n_awarded_women,n_err_men,n_err_women,n_ok_men,n_ok_women,n_timeout_men,n_timeout_women,n_uninsured_men,n_uninsured_women
1952,gcohort,46.2798,35.9392,1488.0000,1298.0000,0.0000,0.0000,2000.0000,2000.0000,0.0000,0.0000,512.0000,702.0000
1952,ordinal,51.4870,41.3622,1469.0000,1381.0000,0.0000,0.0000,2000.0000,2000.0000,0.0000,0.0000,531.0000,619.0000
1953,gcohort,,,0.0000,0.0000,1525.0000,1385.0000,475.0000,615.0000,0.0000,0.0000,475.0000,615.0000
1953,ordinal,,,0.0000,0.0000,1540.0000,1455.0000,460.0000,545.0000,0.0000,0.0000,460.0000,545.0000
1954,gcohort,,,0.0000,0.0000,1530.0000,1447.0000,470.0000,553.0000,0.0000,0.0000,470.0000,553.0000
1954,ordinal,,,0.0000,0.0000,1572.0000,1481.0000,428.0000,519.0000,0.0000,0.0000,428.0000,519.0000
1955,gcohort,51.4531,41.4089,1400.0000,1202.0000,0.0000,0.0000,1845.0000,1786.0000,155.0000,214.0000,445.0000,584.0000
1955,ordinal,64.5947,51.9919,1346.0000,1237.0000,0.0000,0.0000,1829.0000,1762.0000,171.0000,238.0000,483.0000,525.0000
1956,gcohort,53.2686,43.0620,1400.0000,1288.0000,0.0000,0.0000,1895.0000,1773.0000,105.0000,227.0000,495.0000,485.0000
1956,ordinal,67.0286,54.5118,1407.0000,1259.0000,0.0000,0.0000,1869.0000,1712.0000,131.0000,288.0000,462.0000,453.0000
1957,gcohort,65.7484,49.7581,1554.0000,1519.0000,0.0000,0.0000,1987.0000,1983.0000,13.0000,17.0000,433.0000,464.0000
1957,ordinal,83.4355,63.1651,1546.0000,1540.0000,0.0000,0.0000,1989.0000,1987.0000,11.0000,13.0000,443.0000,447.0000
1958,gcohort,68.4846,51.6290,1543.0000,1538.0000,0.0000,0.0000,1990.0000,1985.0000,10.0000,15.0000,447.0000,447.0000
1958,ordinal,85.7092,64.3338,1562.0000,1558.0000,0.0000,0.0000,1990.0000,1987.0000,10.0000,13.0000,428.0000,429.0000
1959,gcohort,80.8574,63.5235,1466.0000,1341.0000,0.0000,0.0000,1895.0000,1816.0000,105.0000,184.0000,429.0000,475.0000
1959,ordinal,93.8049,76.5954,1481.0000,1347.0000,0.0000,0.0000,1888.0000,1792.0000,112.0000,208.0000,407.0000,445.0000
1960,gcohort,80.4301,65.4930,1530.0000,1426.0000,0.0000,0.0000,1934.0000,1835.0000,66.0000,165.0000,404.0000,409.0000
1960,ordinal,94.7538,78.2136,1515.0000,1348.0000,0.0000,0.0000,1912.0000,1774.0000,88.0000,226.0000,397.0000,426.0000
1961,gcohort,74.3082,55.9050,1658.0000,1610.0000,0.0000,0.0000,2000.0000,2000.0000,0.0000,0.0000,342.0000,390.0000
1961,ordinal,90.2132,69.8089,1623.0000,1570.0000,0.0000,0.0000,2000.0000,2000.0000,0.0000,0.0000,377.0000,430.0000
1962,gcohort,75.9497,59.3762,1689.0000,1701.0000,0.0000,0.0000,2000.0000,2000.0000,0.0000,0.0000,311.0000,299.0000
1962,ordinal,90.4025,72.4703,1692.0000,1703.0000,0.0000,0.0000,2000.0000,2000.0000,0.0000,0.0000,308.0000,297.0000
1963,gcohort,75.7085,61.1124,1712.0000,1664.0000,0.0000,0.0000,2000.0000,2000.0000,0.0000,0.0000,288.0000,336.0000
1963,ordinal,90.9324,74.1189,1701.0000,1640.0000,0.0000,0.0000,2000.0000,2000.0000,0.0000,0.0000,299.0000,360.0000
1964,gcohort,77.9078,61.8530,1681.0000,1694.0000,0.0000,0.0000,2000.0000,2000.0000,0.0000,0.0000,319.0000,306.0000
1964,ordinal,91.4484,77.3545,1704.0000,1687.0000,0.0000,0.0000,2000.0000,2000.0000,0.0000,0.0000,296.0000,313.0000
1965,gcohort,84.9287,67.6304,1700.0000,1731.0000,0.0000,0.0000,2000.0000,2000.0000,0.0000,0.0000,300.0000,269.0000
1965,ordinal,98.1938,82.8723,1705.0000,1687.0000,0.0000,0.0000,2000.0000,2000.0000,0.0000,0.0000,295.0000,313.0000
1966,gcohort,86.1725,68.3482,1736.0000,1738.0000,0.0000,0.0000,2000.0000,2000.0000,0.0000,0.0000,264.0000,262.0000
1966,ordinal,98.8444,83.9750,1730.0000,1672.0000,0.0000,0.0000,2000.0000,2000.0000,0.0000,0.0000,270.0000,328.0000
1967,gcohort,86.6815,68.3227,1754.0000,1713.0000,0.0000,0.0000,2000.0000,2000.0000,0.0000,0.0000,246.0000,287.0000
1967,ordinal,100.1685,83.7146,1774.0000,1701.0000,0.0000,0.0000,2000.0000,2000.0000,0.0000,0.0000,226.0000,299.0000
1968,gcohort,86.5667,67.6792,1722.0000,1738.0000,0.0000,0.0000,2000.0000,2000.0000,0.0000,0.0000,278.0000,262.0000
1968,ordinal,101.3756,85.5152,1756.0000,1702.0000,0.0000,0.0000,2000.0000,2000.0000,0.0000,0.0000,244.0000,298.0000
1969,gcohort,100.9071,80.8958,1770.0000,1754.0000,0.0000,0.0000,2000.0000,2000.0000,0.0000,0.0000,230.0000,246.0000
1969,ordinal,117.4391,99.5299,1748.0000,1720.0000,0.0000,0.0000,2000.0000,2000.0000,0.0000,0.0000,252.0000,280.0000
1970,gcohort,121.6492,94.2804,1694.0000,1705.0000,0.0000,0.0000,2000.0000,2000.0000,0.0000,0.0000,306.0000,295.0000
1970,ordinal,141.4447,116.3220,1663.0000,1706.0000,0.0000,0.0000,2000.0000,2000.0000,0.0000,0.0000,337.0000,294.0000
1971,gcohort,134.4628,105.8183,1726.0000,1698.0000,0.0000,0.0000,2000.0000,2000.0000,0.0000,0.0000,274.0000,302.0000
1971,ordinal,158.3534,131.3901,1707.0000,1683.0000,0.0000,0.0000,2000.0000,2000.0000,0.0000,0.0000,293.0000,317.0000
1972,gcohort,137.8640,106.6916,1707.0000,1739.0000,0.0000,0.0000,2000.0000,2000.0000,0.0000,0.0000,293.0000,261.0000
1972,ordinal,160.8141,132.7246,1683.0000,1684.0000,0.0000,0.0000,2000.0000,2000.0000,0.0000,0.0000,317.0000,316.0000
1973,gcohort,161.9269,128.9394,1787.0000,1780.0000,0.0000,0.0000,2000.0000,2000.0000,0.0000,0.0000,213.0000,220.0000
1973,ordinal,189.6703,158.6444,1831.0000,1745.0000,0.0000,0.0000,2000.0000,2000.0000,0.0000,0.0000,169.0000,255.0000
1974,gcohort,165.0854,128.6082,1825.0000,1807.0000,0.0000,0.0000,2000.0000,2000.0000,0.0000,0.0000,175.0000,193.0000
1974,ordinal,192.2628,159.8159,1807.0000,1745.0000,0.0000,0.0000,2000.0000,2000.0000,0.0000,0.0000,193.0000,255.0000
1975,gcohort,188.7443,148.6190,1832.0000,1844.0000,0.0000,0.0000,2000.0000,2000.0000,0.0000,0.0000,168.0000,156.0000
1975,ordinal,220.7470,181.5984,1812.0000,1737.0000,0.0000,0.0000,2000.0000,2000.0000,0.0000,0.0000,188.0000,263.0000
1976,gcohort,209.4917,159.6017,1829.0000,1826.0000,0.0000,0.0000,2000.0000,2000.0000,0.0000,0.0000,171.0000,174.0000
1976,ordinal,249.5048,197.5136,1840.0000,1792.0000,0.0000,0.0000,2000.0000,2000.0000,0.0000,0.0000,160.0000,208.0000
1977,gcohort,234.1444,174.0534,1851.0000,1860.0000,0.0000,0.0000,2000.0000,2000.0000,0.0000,0.0000,149.0000,140.0000
1977,ordinal,278.1594,214.7659,1829.0000,1787.0000,0.0000,0.0000,2000.0000,2000.0000,0.0000,0.0000,171.0000,213.0000
1978,gcohort,257.6946,180.3477,1861.0000,1841.0000,0.0000,0.0000,2000.0000,2000.0000,0.0000,0.0000,139.0000,159.0000
1978,ordinal,306.7018,230.6784,1864.0000,1777.0000,0.0000,0.0000,2000.0000,2000.0000,0.0000,0.0000,136.0000,223.0000
1979,gcohort,279.8817,200.6067,1860.0000,1850.0000,0.0000,0.0000,2000.0000,2000.0000,0.0000,0.0000,140.0000,150.0000
1979,ordinal,337.6375,251.1433,1839.0000,1786.0000,0.0000,0.0000,2000.0000,2000.0000,0.0000,0.0000,161.0000,214.0000
1980,gcohort,318.1506,226.4036,1843.0000,1862.0000,0.0000,0.0000,2000.0000,2000.0000,0.0000,0.0000,157.0000,138.0000
1980,ordinal,382.2950,283.5393,1886.0000,1803.0000,0.0000,0.0000,2000.0000,2000.0000,0.0000,0.0000,114.0000,197.0000
1981,gcohort,374.1116,266.9463,1894.0000,1868.0000,0.0000,0.0000,2000.0000,2000.0000,0.0000,0.0000,106.0000,132.0000
1981,ordinal,445.9779,329.1552,1865.0000,1802.0000,0.0000,0.0000,2000.0000,2000.0000,0.0000,0.0000,135.0000,198.0000
1982,gcohort,410.8318,284.2403,1936.0000,1937.0000,0.0000,0.0000,2000.0000,2000.0000,0.0000,0.0000,64.0000,63.0000
1982,ordinal,476.1941,347.9417,1924.0000,1875.0000,0.0000,0.0000,2000.0000,2000.0000,0.0000,0.0000,76.0000,125.0000
1983,gcohort,440.5129,302.4446,1932.0000,1921.0000,0.0000,0.0000,2000.0000,2000.0000,0.0000,0.0000,68.0000,79.0000
1983,ordinal,495.8361,358.5565,1916.0000,1876.0000,0.0000,0.0000,2000.0000,2000.0000,0.0000,0.0000,84.0000,124.0000
1984,gcohort,431.6131,291.3389,1923.0000,1912.0000,0.0000,0.0000,2000.0000,2000.0000,0.0000,0.0000,77.0000,88.0000
1984,ordinal,481.1591,349.0992,1911.0000,1864.0000,0.0000,0.0000,2000.0000,2000.0000,0.0000,0.0000,89.0000,136.0000
1985,gcohort,425.7482,277.8249,1926.0000,1907.0000,0.0000,0.0000,2000.0000,2000.0000,0.0000,0.0000,74.0000,93.0000
1985,ordinal,498.4913,344.0916,1901.0000,1845.0000,0.0000,0.0000,2000.0000,2000.0000,0.0000,0.0000,99.0000,155.0000
1986,gcohort,438.1784,283.8899,1928.0000,1916.0000,0.0000,0.0000,2000.0000,2000.0000,0.0000,0.0000,72.0000,84.0000
1986,ordinal,531.8514,361.9322,1904.0000,1845.0000,0.0000,0.0000,2000.0000,2000.0000,0.0000,0.0000,96.0000,155.0000
