year,sex,age,model,n,n_low,n_high,negll,converged,alpha,beta,nu,tau,mu1,mu2,sig1,sig2,w,lowc,highc,p_low_model,p_high_model,eta_year,lam,gmm_q,gmm_chi2,has_guv,wedge
1951,1,15,dpln,2213,1453,6,1861.2597460199017,True,11.850889220263403,0.6165670051996579,5.955096674921761,0.7087684522128687,,,,,,200.0,2600.0,0.655472798069932,0.0006663500404233691,0.0,0.0,nan,nan,0,nan
1951,1,16,dpln,4732,2144,10,5116.876205970092,True,9.713896269268043,0.6467382495376293,6.519844536996124,0.5351523676805529,,,,,,200.0,2600.0,0.45083197995463004,0.0013029356880742693,0.0,0.0,nan,nan,0,nan
1951,1,17,dpln,6820,1948,65,8594.035009655565,True,26.984134286751818,0.8132621085852362,6.953991538876641,0.595514458302439,,,,,,200.0,2600.0,0.2835875012579308,0.012990154471668403,0.0,0.0,nan,nan,0,nan
1951,1,18,dpln,7635,1431,274,10129.246167291367,True,16.406834729155968,0.785790927205196,7.448894889428441,0.4553467542757905,,,,,,200.0,2600.0,0.18774434990355218,0.03888518181907641,0.0,0.0,nan,nan,0,nan
1951,1,19,dpln,7981,1222,993,11238.769387208265,True,12.821500626767113,0.7237874065669644,7.866483402639575,0.40678717455458135,,,,,,200.0,2600.0,0.15406545722523526,0.1252052639296245,0.0,0.0,nan,nan,0,nan
1951,1,20,dpln,7396,1160,1314,10664.521897401819,True,5.137801188188999,0.6487134033226891,7.9618844959116695,0.28707088915536905,,,,,,200.0,2600.0,0.16050078655963942,0.17676784279111124,0.0,0.0,nan,nan,0,nan
1951,1,21,dpln,7748,1139,1673,11200.052776720553,True,4.201152574230528,0.6528905235572293,8.008001566985087,0.3009374591045928,,,,,,200.0,2600.0,0.1504268783056751,0.2156650524847874,0.0,0.0,nan,nan,0,nan
1951,1,22,dpln,7576,1075,2048,11035.991776732599,True,12.038131682414473,0.6346962737828618,8.29769373997391,0.4549235903525043,,,,,,200.0,2600.0,0.14757938845730625,0.27033506063793855,0.0,0.0,nan,nan,0,nan
1951,1,23,dpln,8072,955,3103,10947.88180644846,True,3.8172544917410787,0.6785157423151947,8.351651465809024,0.20957683445203487,,,,,,200.0,2600.0,0.10804254147348734,0.384324197723819,0.0,0.0,nan,nan,0,nan
1951,1,24,dpln,9369,672,4532,11399.873031595687,True,3.496380106490035,0.8361127536004728,8.417243063540454,0.2186864049478988,,,,,,200.0,2600.0,0.06047821571868409,0.4836710257297261,0.0,0.0,nan,nan,0,nan
1951,1,25,dpln,9757,616,5082,11401.967671841923,True,3.488235773213158,0.8651181201047182,8.479828645022094,0.22718828220688847,,,,,,200.0,2600.0,0.05209852687668626,0.5208376651551948,0.0,0.0,nan,nan,0,nan
1951,1,26,dpln,9600,579,5459,10737.950306614992,True,3.3662532526218354,0.8421172733728242,8.625542518689615,0.2633406176148776,,,,,,200.0,2600.0,0.04975723491994367,0.5685787675816036,0.0,0.0,nan,nan,0,nan
1951,1,27,dpln,9949,504,5895,10671.558319892236,True,2.1764521219817783,0.8942456906238535,8.50708586799019,0.23665326227391684,,,,,,200.0,2600.0,0.04112071207153075,0.5924609344910696,0.0,0.0,nan,nan,0,nan
1951,1,28,dpln,9736,482,5967,10208.77168318765,True,2.386820663927677,0.8792352840353296,8.614958192141998,0.25609810503830366,,,,,,200.0,2600.0,0.040584150347146075,0.6129595005302861,0.0,0.0,nan,nan,0,nan
1951,1,29,dpln,9590,446,6021,9800.930885825106,True,2.0634302933420043,0.89463860645552,8.595483048526624,0.26021850537402924,,,,,,200.0,2600.0,0.03752153272696514,0.6277541633772035,0.0,0.0,nan,nan,0,nan
1951,1,30,dpln,10111,382,6614,9836.240650339412,True,2.005160543189844,0.9375667317852009,8.62400289719034,0.2836370484885357,,,,,,200.0,2600.0,0.031232197204542792,0.654107046002972,0.0,0.0,nan,nan,0,nan
1951,1,31,dpln,9682,411,6428,9394.661824077419,True,126.77692640816535,0.8778274669852699,9.151610696732067,0.35196650296065535,,,,,,200.0,2600.0,0.03537686871586599,0.6638311596787198,0.0,0.0,nan,nan,0,nan
1951,1,32,dpln,9074,400,5948,8890.464423603424,True,2.0671440472725364,0.8889727431591836,8.690670201473885,0.26515908121786264,,,,,,200.0,2600.0,0.03523779748151339,0.6554404896703824,0.0,0.0,nan,nan,0,nan
1951,1,33,dpln,9307,376,6359,8689.029243143537,True,2.349413831383089,0.8879752842597153,8.835032366156806,0.2941389755098814,,,,,,200.0,2600.0,0.03248401367325871,0.6831769470834632,0.0,0.0,nan,nan,0,nan
1951,1,34,dpln,9041,340,6262,8231.684179944243,True,2.124926797948878,0.916374767071592,8.797957078788132,0.2913816972832177,,,,,,200.0,2600.0,0.02930839510896364,0.6925519882970689,0.0,0.0,nan,nan,0,nan
1951,1,35,dpln,9074,337,6326,8238.307312392442,True,171.8419537001714,0.8966466522887362,9.2543621093748,0.38142137658598485,,,,,,200.0,2600.0,0.030382256854853445,0.6970175583704397,0.0,0.0,nan,nan,0,nan
1951,1,36,dpln,8930,347,6186,8125.329422183064,True,2.0248340580242,0.9125316747813292,8.790008639830061,0.30190986679903425,,,,,,200.0,2600.0,0.02958897236928523,0.6926585373769268,0.0,0.0,nan,nan,0,nan
1951,1,37,dpln,9152,335,6348,8203.996406538356,True,2.0631502473595464,0.9618444276067962,8.731456397498823,0.2755385976498407,,,,,,200.0,2600.0,0.025998882548255706,0.6935331958823593,0.0,0.0,nan,nan,0,nan
1951,1,38,dpln,8876,321,6182,8016.8327077760805,True,2.0596421959965516,0.9214450136596677,8.80552756275438,0.32785341920222844,,,,,,200.0,2600.0,0.028557797353906903,0.6965280391099057,0.0,0.0,nan,nan,0,nan
1951,1,39,dpln,8871,335,6137,8100.784781175139,True,2.85970591890987,0.9113755590067264,8.895586911818294,0.3118142078294348,,,,,,200.0,2600.0,0.029755910923389015,0.6918342276426325,0.0,0.0,nan,nan,0,nan
1951,1,40,dpln,8513,284,5926,7644.834151893683,True,2.2702635394106276,0.9522708941199627,8.787396488929327,0.2948601429142306,,,,,,200.0,2600.0,0.026426179279081103,0.6960549249589052,0.0,0.0,nan,nan,0,nan
1951,1,41,dpln,8413,293,5818,7628.964090140347,False,1.05,0.9454386452655839,8.456374549169045,0.24268563667606766,,,,,,200.0,2600.0,0.0272827491151299,0.6916855338076285,0.0,0.0,nan,nan,0,nan
