year,sex,age,cohort,model,alpha,beta,nu,tau,mu1,mu2,sig1,sig2,w
1937,1,15,1922,dpln,3.7098121122841645,0.4854070599410054,5.102127917066403,0.41177935905148744,,,,,
1938,1,15,1923,dpln,415.8892962519464,0.4854070599410054,5.112189043007436,0.41177935905148744,,,,,
1939,1,15,1924,dpln,6.746312885206192,0.4854070599410054,5.122250168948468,0.41177935905148744,,,,,
1940,1,15,1925,dpln,3.708406908874388,0.4854070599410054,5.132311294889501,0.41177935905148744,,,,,
1941,1,15,1926,dpln,3.40041671019854,0.4854070599410054,5.217265061291411,0.41177935905148744,,,,,
1942,1,15,1927,dpln,2.735185240844021,0.4854070599410054,5.302218827693322,0.41177935905148744,,,,,
1943,1,15,1928,dpln,2.2303249046380165,0.4854070599410054,5.387172594095232,0.41177935905148744,,,,,
1944,1,15,1929,dpln,2.2552114839045116,0.4854070599410054,5.472126360497143,0.41177935905148744,,,,,
1945,1,15,1930,dpln,3.6919629193811554,0.4854070599410054,5.557080126899053,0.41177935905148744,,,,,
1946,1,15,1931,dpln,4.912642351132643,0.4854070599410054,5.634642491288517,0.41177935905148744,,,,,
1947,1,15,1932,dpln,2.7511205455807195,0.4854070599410054,5.712204855677982,0.41177935905148744,,,,,
1948,1,15,1933,dpln,2.521033871710127,0.4854070599410054,5.7897672200674455,0.41177935905148744,,,,,
1949,1,15,1934,dpln,3.2914840274510544,0.4854070599410054,5.86732958445691,0.41177935905148744,,,,,
1950,1,15,1935,dpln,3.697617356795463,0.4854070599410054,5.944891948846374,0.41177935905148744,,,,,
1951,1,15,1936,dpln,11.790838200567825,0.6169019919421928,5.954235845952847,0.708772646138202,,,,,
1952,1,15,1937,dpln,2.9427635045428024,0.4966506964958881,6.017364424674388,0.2356101662074552,,,,,
1953,1,15,1938,dpln,11.031333335830308,0.4676184140353389,6.296501431921187,0.4817875566661483,,,,,
1954,1,15,1939,dpln,12.839414582359645,0.4084846223485385,6.400012724056006,0.4180925123671565,,,,,
1955,1,15,1940,dpln,2.9845800018940625,0.437379574883069,6.082404901020992,0.214633913878475,,,,,
1956,1,15,1941,dpln,3.3743657379077336,0.4505279511001623,6.1757870403166635,0.2538345734296282,,,,,
1957,1,15,1942,dpln,3.8530386480224985,0.4762275731645746,6.20268626762952,0.3438508300801939,,,,,
1958,1,15,1943,dpln,3.1697462016464097,0.4822259002607837,6.153965080138859,0.327954368690398,,,,,
1959,1,15,1944,dpln,3.7090207414987497,0.489678819453376,6.134137987320148,0.388558241274885,,,,,
1960,1,15,1945,dpln,3.15103646071315,0.4924129872497784,6.136326939522473,0.3007575387776706,,,,,
1961,1,15,1946,dpln,3.1131597189519247,0.4257711362557632,6.183964958657801,0.1949548571108832,,,,,
1962,1,15,1947,dpln,11.651438506385334,0.5152783013679958,6.297503210418911,0.5089683054636729,,,,,
1963,1,15,1948,dpln,2.8108342065740444,0.4380884397047323,6.191124662230831,0.2373422379672641,,,,,
1964,1,15,1949,dpln,11.52634222393989,0.4772015373250101,6.450532295085023,0.4677166511835035,,,,,
1965,1,15,1950,dpln,2.6121574985947325,0.461080958005667,6.1805988337619295,0.2231095474539851,,,,,
1966,1,15,1951,dpln,9.82430564411753,0.6261465865528479,6.339666679812128,0.5584740151132236,,,,,
1967,1,15,1952,dpln,3.005402881924058,0.5940305090965897,6.262919711056764,0.44000265552219,,,,,
1968,1,15,1953,dpln,3.7111463533922384,0.6381775664496346,6.348624855256532,0.4683169033807978,,,,,
1969,1,15,1954,dpln,3.1543244826466967,0.6685587874443909,6.339460869222464,0.504346512473341,,,,,
1970,1,15,1955,dpln,8.858161362391627,0.7679137621063885,6.541359126096969,0.6084297774316892,,,,,
1971,1,15,1956,dpln,7.683430656810993,0.8823891110492009,6.384812032186416,0.636629878626977,,,,,
1972,1,15,1957,dpln,6.940872295880128,1.0027642458958237,6.397505649176062,0.6651726667438997,,,,,
1973,1,15,1958,dpln,3.1332319426644015,0.9469381012607004,6.3087817387082366,0.6204405946156387,,,,,
1974,1,15,1959,dpln,2.8371539205948157,0.8328876531875405,6.502703269933982,0.5157352715394198,,,,,
1975,1,15,1960,dpln,27.479494679775428,1.0698236352935904,6.692312829748586,0.7441843219417933,,,,,
1976,1,15,1961,dpln,2.766537971406282,0.8546380693757921,6.584427557580332,0.501318627902643,,,,,
1977,1,15,1962,dpln,2.60080457550856,0.8322910628932942,6.6007402070774095,0.5133244400279967,,,,,
1978,1,15,1963,dpln,3.299202503098107,0.8782038974031956,6.756425696629447,0.5709250415296346,,,,,
1979,1,15,1964,dpln,7.828075514012834,0.9430598740921694,6.9746519927044,0.7073185826226982,,,,,
1980,1,15,1965,dpln,7.802559812151318,0.97812931247012,7.024020932197608,0.7452689853750672,,,,,
1981,1,15,1966,dpln,7.329088302972763,1.01002475451847,7.024686013831085,0.7746056090842051,,,,,
1982,1,15,1967,dpln,6.4031763064035925,0.8984751983085857,6.994036622405993,0.7506527093761555,,,,,
1983,1,15,1968,dpln,2.2048084086524296,0.8442413836291343,6.766165621692651,0.461057564703673,,,,,
1984,1,15,1969,dpln,2.1998933053074476,0.8029935260209755,6.7597108487733175,0.565712815337815,,,,,
1985,1,15,1970,dpln,2.2350383518691954,0.9108008498782422,6.745480169181489,0.5040531721998175,,,,,
1986,1,15,1971,dpln,26.64626392344856,0.9791445506250028,7.094853426270629,0.8011351987150092,,,,,
1987,1,15,1972,dpln,6.815281685713795,0.9664126213322544,7.088888708884143,0.7492987766805991,,,,,
1988,1,15,1973,dpln,3.354776118990352,0.8435040533820173,7.052035527013008,0.6263729045425773,,,,,
1989,1,15,1974,dpln,2.59790921467766,0.8359557521902473,6.99353506215906,0.5740980240886159,,,,,
1990,1,15,1975,dpln,8.533860442442002,0.9053893866115724,7.223355215711899,0.7286810881640192,,,,,
1991,1,15,1976,dpln,2.38211731215481,0.8753611200286324,6.925873378490225,0.5572798733871852,,,,,
1992,1,15,1977,dpln,2.31465367648723,0.8915688389825843,6.915752134354303,0.4654415749268794,,,,,
1993,1,15,1978,dpln,2.183064291784967,0.9686255680733225,6.76309542759922,0.5124650732926205,,,,,
1994,1,15,1979,dpln,2.2041925172558834,0.8806110724774402,6.91839211344206,0.4903819474166676,,,,,
1995,1,15,1980,dpln,3.1074881781808887,0.9027019629251664,7.049144369716049,0.5913552489903325,,,,,
1996,1,15,1981,dpln,2.596937437138177,0.870185295726629,7.016873731937249,0.5864977405043574,,,,,
1997,1,15,1982,dpln,2.626711538895281,0.98249688043186,7.056987899902767,0.6008031930683027,,,,,
1998,1,15,1983,dpln,7.169136521329957,1.0367661129871453,7.297608803815287,0.7271498087484808,,,,,
1999,1,15,1984,dpln,2.57043774422847,0.9445912345061538,7.184856561645714,0.5932317348269005,,,,,
2000,1,15,1985,dpln,6.057920594810967,0.9118668922655804,7.508468119058577,0.6968236235407589,,,,,
2001,1,15,1986,dpln,2.915941630160426,0.9794211832393188,7.28692881225804,0.6397193891113042,,,,,
2002,1,15,1987,dpln,6.975086807790501,1.0276909819402231,7.384336121388045,0.7789556971317848,,,,,
2003,1,15,1988,dpln,17.905786287424313,1.0654988632635731,7.422326535985906,0.852016804554066,,,,,
2004,1,15,1989,dpln,12.90220150936674,1.0951197381080446,7.419574938441135,0.8328529541525261,,,,,
2005,1,15,1990,dpln,9.35138736591059,1.0159195317633478,7.500802751020008,0.760073693698088,,,,,
2006,1,15,1991,dpln,9.35138736591059,1.0159195317633478,7.546922686633562,0.760073693698088,,,,,
2007,1,15,1992,dpln,9.35138736591059,1.0159195317633478,7.590939572050336,0.760073693698088,,,,,
2008,1,15,1993,dpln,9.35138736591059,1.0159195317633478,7.614851392096649,0.760073693698088,,,,,
2009,1,15,1994,dpln,9.35138736591059,1.0159195317633478,7.599128431631413,0.760073693698088,,,,,
2010,1,15,1995,dpln,9.35138736591059,1.0159195317633478,7.624698707742943,0.760073693698088,,,,,
2011,1,15,1996,dpln,9.35138736591059,1.0159195317633478,7.655712761272112,0.760073693698088,,,,,
2012,1,15,1997,dpln,9.35138736591059,1.0159195317633478,7.688470325510285,0.760073693698088,,,,,
2013,1,15,1998,dpln,9.35138736591059,1.0159195317633478,7.700695295132854,0.760073693698088,,,,,
2014,1,15,1999,dpln,9.35138736591059,1.0159195317633478,7.736062438970145,0.760073693698088,,,,,
2015,1,15,2000,dpln,9.35138736591059,1.0159195317633478,7.769303772749947,0.760073693698088,,,,,
2016,1,15,2001,dpln,9.35138736591059,1.0159195317633478,7.782121276460562,0.760073693698088,,,,,
2017,1,15,2002,dpln,9.35138736591059,1.0159195317633478,7.816232806089331,0.760073693698088,,,,,
2018,1,15,2003,dpln,9.35138736591059,1.0159195317633478,7.852082458983028,0.760073693698088,,,,,
2019,1,15,2004,dpln,9.35138736591059,1.0159195317633478,7.887642634381579,0.760073693698088,,,,,
2020,1,15,2005,dpln,9.35138736591059,1.0159195317633478,7.914868620635171,0.760073693698088,,,,,
2021,1,15,2006,dpln,9.35138736591059,1.0159195317633478,8.004343627062774,0.760073693698088,,,,,
2022,1,15,2007,dpln,9.35138736591059,1.0159195317633478,8.051131788561534,0.760073693698088,,,,,
2023,1,15,2008,dpln,9.35138736591059,1.0159195317633478,8.091793770280422,0.760073693698088,,,,,
2024,1,15,2009,dpln,9.35138736591059,1.0159195317633478,8.12870412430052,0.760073693698088,,,,,
2025,1,15,2010,dpln,9.35138736591059,1.0159195317633478,8.168501594174586,0.760073693698088,,,,,
2026,1,15,2011,dpln,9.35138736591059,1.0159195317633478,8.208683383807418,0.760073693698088,,,,,
2027,1,15,2012,dpln,9.35138736591059,1.0159195317633478,8.248673032023579,0.760073693698088,,,,,
2028,1,15,2013,dpln,9.35138736591059,1.0159195317633478,8.287989894400528,0.760073693698088,,,,,
2029,1,15,2014,dpln,9.35138736591059,1.0159195317633478,8.32749902749524,0.760073693698088,,,,,
2030,1,15,2015,dpln,9.35138736591059,1.0159195317633478,8.36681588987219,0.760073693698088,,,,,
2031,1,15,2016,dpln,9.35138736591059,1.0159195317633478,8.40584427683967,0.760073693698088,,,,,
2032,1,15,2017,dpln,9.35138736591059,1.0159195317633478,8.442754630859767,0.760073693698088,,,,,
2033,1,15,2018,dpln,9.35138736591059,1.0159195317633478,8.478797222206694,0.760073693698088,,,,,
2034,1,15,2019,dpln,9.35138736591059,1.0159195317633478,8.514743348980165,0.760073693698088,,,,,
2035,1,15,2020,dpln,9.35138736591059,1.0159195317633478,8.550689475753632,0.760073693698088,,,,,
2036,1,15,2021,dpln,9.35138736591059,1.0159195317633478,8.586635602527103,0.760073693698088,,,,,
2037,1,15,2022,dpln,9.35138736591059,1.0159195317633478,8.62258172930057,0.760073693698088,,,,,
2038,1,15,2023,dpln,9.35138736591059,1.0159195317633478,8.65843138219427,0.760073693698088,,,,,
2039,1,15,2024,dpln,9.35138736591059,1.0159195317633478,8.694281035087965,0.760073693698088,,,,,
2040,1,15,2025,dpln,9.35138736591059,1.0159195317633478,8.729937712296,0.760073693698088,,,,,
2041,1,15,2026,dpln,9.35138736591059,1.0159195317633478,8.765401376571571,0.760073693698088,,,,,
2042,1,15,2027,dpln,9.35138736591059,1.0159195317633478,8.800671990653491,0.760073693698088,,,,,
2043,1,15,2028,dpln,9.35138736591059,1.0159195317633478,8.835846065661144,0.760073693698088,,,,,
2044,1,15,2029,dpln,9.35138736591059,1.0159195317633478,8.870827034556392,0.760073693698088,,,,,
2045,1,15,2030,dpln,9.35138736591059,1.0159195317633478,8.905614860042053,0.760073693698088,,,,,
2046,1,15,2031,dpln,9.35138736591059,1.0159195317633478,8.940209504806553,0.760073693698088,,,,,
2047,1,15,2032,dpln,9.35138736591059,1.0159195317633478,8.974900744596486,0.760073693698088,,,,,
2048,1,15,2033,dpln,9.35138736591059,1.0159195317633478,9.009591984386415,0.760073693698088,,,,,
2049,1,15,2034,dpln,9.35138736591059,1.0159195317633478,9.044283224176347,0.760073693698088,,,,,
2050,1,15,2035,dpln,9.35138736591059,1.0159195317633478,9.078974463966276,0.760073693698088,,,,,
2051,1,15,2036,dpln,9.35138736591059,1.0159195317633478,9.113665703756208,0.760073693698088,,,,,
2052,1,15,2037,dpln,9.35138736591059,1.0159195317633478,9.148356943546137,0.760073693698088,,,,,
2053,1,15,2038,dpln,9.35138736591059,1.0159195317633478,9.18304818333607,0.760073693698088,,,,,
2054,1,15,2039,dpln,9.35138736591059,1.0159195317633478,9.21764282810057,0.760073693698088,,,,,
2055,1,15,2040,dpln,9.35138736591059,1.0159195317633478,9.252237472865069,0.760073693698088,,,,,
2056,1,15,2041,dpln,9.35138736591059,1.0159195317633478,9.286832117629569,0.760073693698088,,,,,
2057,1,15,2042,dpln,9.35138736591059,1.0159195317633478,9.321523357419498,0.760073693698088,,,,,
2058,1,15,2043,dpln,9.35138736591059,1.0159195317633478,9.356311182905163,0.760073693698088,,,,,
2059,1,15,2044,dpln,9.35138736591059,1.0159195317633478,9.391099008390825,0.760073693698088,,,,,
2060,1,15,2045,dpln,9.35138736591059,1.0159195317633478,9.425983410244328,0.760073693698088,,,,,
2061,1,15,2046,dpln,9.35138736591059,1.0159195317633478,9.460964379139572,0.760073693698088,,,,,
2062,1,15,2047,dpln,9.35138736591059,1.0159195317633478,9.49594534803482,0.760073693698088,,,,,
2063,1,15,2048,dpln,9.35138736591059,1.0159195317633478,9.530926316930064,0.760073693698088,,,,,
2064,1,15,2049,dpln,9.35138736591059,1.0159195317633478,9.565907285825311,0.760073693698088,,,,,
2065,1,15,2050,dpln,9.35138736591059,1.0159195317633478,9.600888254720555,0.760073693698088,,,,,
2066,1,15,2051,dpln,9.35138736591059,1.0159195317633478,9.635869223615803,0.760073693698088,,,,,
2067,1,15,2052,dpln,9.35138736591059,1.0159195317633478,9.670946750228499,0.760073693698088,,,,,
2068,1,15,2053,dpln,9.35138736591059,1.0159195317633478,9.705927719123743,0.760073693698088,,,,,
2069,1,15,2054,dpln,9.35138736591059,1.0159195317633478,9.741005245736439,0.760073693698088,,,,,
2070,1,15,2055,dpln,9.35138736591059,1.0159195317633478,9.776082772349135,0.760073693698088,,,,,
2071,1,15,2056,dpln,9.35138736591059,1.0159195317633478,9.811063741244382,0.760073693698088,,,,,
2072,1,15,2057,dpln,9.35138736591059,1.0159195317633478,9.846044710139626,0.760073693698088,,,,,
2073,1,15,2058,dpln,9.35138736591059,1.0159195317633478,9.881025679034874,0.760073693698088,,,,,
2074,1,15,2059,dpln,9.35138736591059,1.0159195317633478,9.916006647930118,0.760073693698088,,,,,
2075,1,15,2060,dpln,9.35138736591059,1.0159195317633478,9.950987616825365,0.760073693698088,,,,,
2076,1,15,2061,dpln,9.35138736591059,1.0159195317633478,9.986065143438061,0.760073693698088,,,,,
2077,1,15,2062,dpln,9.35138736591059,1.0159195317633478,10.021142670050757,0.760073693698088,,,,,
2078,1,15,2063,dpln,9.35138736591059,1.0159195317633478,10.056123638946001,0.760073693698088,,,,,
2079,1,15,2064,dpln,9.35138736591059,1.0159195317633478,10.091104607841249,0.760073693698088,,,,,
2080,1,15,2065,dpln,9.35138736591059,1.0159195317633478,10.126085576736493,0.760073693698088,,,,,
2081,1,15,2066,dpln,9.35138736591059,1.0159195317633478,10.16106654563174,0.760073693698088,,,,,
2082,1,15,2067,dpln,9.35138736591059,1.0159195317633478,10.196047514526985,0.760073693698088,,,,,
2083,1,15,2068,dpln,9.35138736591059,1.0159195317633478,10.231028483422232,0.760073693698088,,,,,
2084,1,15,2069,dpln,9.35138736591059,1.0159195317633478,10.266009452317476,0.760073693698088,,,,,
2085,1,15,2070,dpln,9.35138736591059,1.0159195317633478,10.300990421212724,0.760073693698088,,,,,
2086,1,15,2071,dpln,9.35138736591059,1.0159195317633478,10.335971390107968,0.760073693698088,,,,,
2087,1,15,2072,dpln,9.35138736591059,1.0159195317633478,10.370952359003216,0.760073693698088,,,,,
2088,1,15,2073,dpln,9.35138736591059,1.0159195317633478,10.405836760856715,0.760073693698088,,,,,
2089,1,15,2074,dpln,9.35138736591059,1.0159195317633478,10.440721162710219,0.760073693698088,,,,,
2090,1,15,2075,dpln,9.35138736591059,1.0159195317633478,10.475605564563718,0.760073693698088,,,,,
2091,1,15,2076,dpln,9.35138736591059,1.0159195317633478,10.510489966417222,0.760073693698088,,,,,
2092,1,15,2077,dpln,9.35138736591059,1.0159195317633478,10.545374368270721,0.760073693698088,,,,,
2093,1,15,2078,dpln,9.35138736591059,1.0159195317633478,10.580258770124225,0.760073693698088,,,,,
2094,1,15,2079,dpln,9.35138736591059,1.0159195317633478,10.615143171977724,0.760073693698088,,,,,
2095,1,15,2080,dpln,9.35138736591059,1.0159195317633478,10.650027573831228,0.760073693698088,,,,,
2096,1,15,2081,dpln,9.35138736591059,1.0159195317633478,10.684911975684727,0.760073693698088,,,,,
2097,1,15,2082,dpln,9.35138736591059,1.0159195317633478,10.71979637753823,0.760073693698088,,,,,
2098,1,15,2083,dpln,9.35138736591059,1.0159195317633478,10.75468077939173,0.760073693698088,,,,,
2099,1,15,2084,dpln,9.35138736591059,1.0159195317633478,10.789565181245234,0.760073693698088,,,,,
2100,1,15,2085,dpln,9.35138736591059,1.0159195317633478,10.824449583098733,0.760073693698088,,,,,
1937,1,16,1921,dpln,3.2202602442498574,0.6242277840830365,5.4202015854179315,0.4449053855913709,,,,,
1938,1,16,1922,dpln,361.00797727586064,0.6242277840830365,5.4302627113589645,0.4449053855913709,,,,,
