year,sex,age,cohort,p10_guv,p25_guv,p50_guv,p75_guv,n,p10_epuf,p25_epuf,p50_epuf,p75_epuf,p10_cens,p25_cens,p50_cens,p75_cens,gap_p10,gap_p25,gap_p50,gap_p75
1957,1,55,1927,9024.758,18645.12,28867.57,39750.37,6855,7768.801155512759,14890.202214732788,26893.0,27190.804044294655,False,False,True,True,-0.14985582841939188,-0.22488102247514968,,
1957,1,54,1928,9613.892,19247.21,29133.0,40093.49,6995,7768.801155512759,14890.202214732788,26893.0,27190.804044294655,False,False,True,True,-0.2130932747554224,-0.25666268798799924,,
1958,1,55,1928,8241.684,17799.0,28640.33,39367.8,6793,7590.192273769624,14547.868524725112,26274.715587699182,26565.672958193685,False,False,True,True,-0.0823477683737909,-0.20169778620432366,,
1957,1,53,1929,8778.745,18476.8,29385.49,40579.04,7211,7768.801155512759,16185.002407318247,27190.804044294655,27190.804044294655,False,False,True,True,-0.12221759789815372,-0.13243085493061585,,
1958,1,54,1929,8716.07,18197.49,28747.85,39772.61,7018,7590.192273769624,15180.384547539248,26565.672958193685,26565.672958193685,False,False,True,True,-0.13831152465795626,-0.18127956832500303,,
1959,1,55,1929,9503.377,19418.05,30385.88,41690.23,6923,7478.067431352103,16202.479434596224,28665.925153516393,29912.269725408412,False,False,True,True,-0.23967281531295098,-0.18103876382967982,,
1957,1,52,1930,10358.4,20043.51,29812.78,40915.69,7555,7768.801155512759,16185.002407318247,27190.804044294655,27190.804044294655,False,False,True,True,-0.2876819237141801,-0.2138203744645363,,
1958,1,53,1930,8735.046,18570.67,29323.44,40367.17,7352,7590.192273769624,15180.384547539248,26565.672958193685,26565.672958193685,False,False,True,True,-0.14048628614358896,-0.20157935025310791,,
1959,1,54,1930,9927.135,20371.5,30946.74,42712.23,7309,7478.067431352103,16202.479434596224,28042.752867570387,29912.269725408412,False,False,True,True,-0.2832975229778676,-0.22897258318466054,,
1960,1,55,1930,9987.164,20642.59,31941.76,43351.28,7201,7357.027242676394,15327.140088909155,28201.937763592843,29428.108970705576,False,False,True,True,-0.3056447245706938,-0.29773129825353756,,
1957,1,51,1931,9982.909,19765.13,29935.78,41012.8,7723,7768.801155512759,16832.402503610978,27190.804044294655,27190.804044294655,False,False,True,True,-0.25075866978079003,-0.16061352474100501,,
1958,1,52,1931,8861.55,18342.96,28999.92,40012.96,7590,7590.192273769624,15812.900570353384,26565.672958193685,26565.672958193685,False,False,True,True,-0.15486476928359688,-0.14841975098211788,,
1959,1,53,1931,9808.731,20209.48,30644.5,41777.47,7474,7478.067431352103,16202.479434596224,28665.925153516393,29912.269725408412,False,False,True,True,-0.2712985135997117,-0.22098751920236215,,
1960,1,54,1931,9674.491,20274.74,31543.25,43093.79,7347,7357.027242676394,16553.311296021886,29152.22044910521,29428.108970705576,False,False,True,True,-0.2738366838095519,-0.2027896161252208,,
1961,1,55,1931,10150.48,20507.24,31901.5,43131.94,7141,7280.676818950931,16381.522842639595,29122.707275803725,29122.707275803725,False,False,True,True,-0.3322971674867206,-0.22462395078633518,,
1957,1,50,1932,9503.833,19370.21,30078.21,40928.63,8231,8416.201251805489,16832.402503610978,27190.804044294655,27190.804044294655,False,False,True,True,-0.12153662220794174,-0.1404305695985318,,
1958,1,51,1932,8791.973,18267.06,29481.57,40202.72,8069,7590.192273769624,16445.41659316752,26565.672958193685,26565.672958193685,False,False,True,True,-0.1469822225238496,-0.10505262606812246,,
1959,1,52,1932,9584.39,19910.36,30996.59,41933.26,8002,7478.067431352103,16825.65172054223,28665.925153516393,29912.269725408412,False,False,True,True,-0.24816133955457864,-0.16833558925050457,,
1960,1,53,1932,10134.3,20955.27,32131.82,43381.94,7841,7357.027242676394,16553.311296021886,29152.22044910521,29428.108970705576,False,False,True,True,-0.3202697660278927,-0.23580400592751352,,
1961,1,54,1932,10453.84,20822.74,32180.59,43677.99,7673,7280.676818950931,16381.522842639595,29122.707275803725,29122.707275803725,False,False,True,True,-0.3617455475039469,-0.23989161501482,,
1962,1,55,1932,10613.88,21521.6,33316.8,45507.77,7565,7795.506995930654,16790.322760466024,28783.410446513182,28783.410446513182,False,False,True,True,-0.3086150369532911,-0.24825438769251074,,
1957,1,49,1933,9711.001,19719.81,29922.83,41090.48,8522,8416.201251805489,17479.80259990371,27190.804044294655,27190.804044294655,False,False,True,True,-0.14310079787907382,-0.12057763698769865,,
1958,1,50,1933,9165.157,18975.48,29854.76,40392.47,8342,7590.192273769624,16445.41659316752,26565.672958193685,26565.672958193685,False,False,True,True,-0.18855208793314518,-0.14310080757180707,,
1959,1,51,1933,9783.805,20639.47,31376.72,42176.3,8276,8101.239717298112,17448.82400648824,29619.378751013788,29912.269725408412,False,False,True,True,-0.1887113662019929,-0.16793300778993828,,
1960,1,52,1933,10373.41,20740.69,32364.79,44025.68,8168,7970.112846232761,17166.396899578252,29428.108970705576,29428.108970705576,False,False,True,True,-0.26354714978350735,-0.1891436670028711,,
1961,1,53,1933,10478.11,20944.08,32665.97,44005.63,8003,7887.3998871968415,16988.245910885507,29122.707275803725,29122.707275803725,False,False,True,True,-0.2840217839207603,-0.2093343409594447,,
1962,1,54,1933,11057.63,21935.36,33532.67,45963.51,7860,7795.506995930654,17389.97714476838,28783.410446513182,28783.410446513182,False,False,True,True,-0.3495731458514369,-0.23220593251929858,,
1963,1,55,1933,11818.75,22434.29,34223.41,47192.04,7712,7705.306077469832,17781.47556339192,28450.360901427073,28450.360901427073,False,False,True,True,-0.42777806091593856,-0.232433375237695,,
1957,1,48,1934,9846.955,19965.82,30265.96,41355.92,8669,7768.801155512759,17479.80259990371,27190.804044294655,27190.804044294655,False,False,True,True,-0.23704640929984241,-0.13297573429560394,,
1958,1,49,1934,8950.102,18817.35,29734.58,40746.68,8523,8222.70829658376,16445.41659316752,26565.672958193685,26565.672958193685,False,False,True,True,-0.0847652975971882,-0.13473250475884618,,
1959,1,50,1934,10313.5,20352.81,31470.2,42593.82,8477,8101.239717298112,16825.65172054223,29289.097439462403,29912.269725408412,False,False,True,True,-0.2414366151710222,-0.19031437586575123,,
1960,1,51,1934,10630.9,21004.31,32101.16,43682.35,8399,7970.112846232761,17166.396899578252,29152.22044910521,29428.108970705576,False,False,True,True,-0.28806620323263693,-0.2017738504697738,,
1961,1,52,1934,9925.989,21053.29,32338.34,43999.56,8224,7887.3998871968415,16988.245910885507,29122.707275803725,29122.707275803725,False,False,True,True,-0.22988993376711084,-0.21453515454198252,,
1962,1,53,1934,11477.38,21827.42,33892.46,46425.24,8115,7795.506995930654,17389.97714476838,28783.410446513182,28783.410446513182,False,False,True,True,-0.3868306002820714,-0.22727296350380682,,
1963,1,54,1934,11617.23,22588.4,34336.03,47079.42,7948,7705.306077469832,17781.47556339192,28450.360901427073,28450.360901427073,False,False,True,True,-0.41058014839771634,-0.2392792834622829,,
1964,1,55,1934,12075.12,23420.01,35384.14,47955.82,7775,8762.78918214402,18693.950255240576,28040.925382860867,28040.925382860867,False,False,True,True,-0.32063288331948,-0.22539082939947136,,
1957,1,47,1935,9743.371,19389.63,30045.84,41006.32,8925,8416.201251805489,17479.80259990371,27190.804044294655,27190.804044294655,False,False,True,True,-0.14642858762963543,-0.10369230981952852,,
1958,1,48,1935,9095.58,18412.54,29285.49,40076.21,8778,7590.192273769624,17077.932615981656,26565.672958193685,26565.672958193685,False,False,True,True,-0.18093165764055333,-0.0752448144081203,,
1959,1,49,1935,10095.39,19966.44,31146.15,41877.18,8684,8101.239717298112,18071.996292434247,29619.378751013788,29912.269725408412,False,False,True,True,-0.22006178251970338,-0.09968929012467331,,
1960,1,50,1935,10367.28,20519.97,32088.9,42811.77,8594,7970.112846232761,17779.48250313462,29428.108970705576,29428.108970705576,False,False,True,True,-0.2629560411773338,-0.1433534342114952,,
1961,1,51,1935,10666.19,20555.78,32483.95,43841.81,8431,7887.3998871968415,17594.968979131416,29122.707275803725,29122.707275803725,False,False,True,True,-0.30181239043626173,-0.15552915887963692,,
1962,1,52,1935,11345.46,21599.55,33820.51,45609.71,8297,8395.161380233012,17989.63152907074,28783.410446513182,28783.410446513182,False,False,True,True,-0.30116215018634795,-0.18287691537314835,,
1963,1,53,1935,10911.9,21651.91,34057.45,46231.84,8188,8298.021929582896,18374.191415504985,28450.360901427073,28450.360901427073,False,False,True,True,-0.27383677217382685,-0.1641466327338982,,
1964,1,54,1935,11350.73,22561.26,34963.53,47213.91,8069,8762.78918214402,19278.136200716846,28040.925382860867,28040.925382860867,False,False,True,True,-0.25876780498179247,-0.15726266171183023,,
1965,1,55,1935,12455.34,23770.53,35713.38,48450.88,8008,9213.382581232268,20154.274396445588,27640.147743696805,27640.147743696805,False,False,True,True,-0.3014923911125627,-0.16503018338416148,,
1957,1,46,1936,10345.45,20315.41,30460.17,41096.96,8940,8416.201251805489,18127.202696196437,27190.804044294655,27190.804044294655,False,False,True,True,-0.20638824081730806,-0.11396598994465203,,
1958,1,47,1936,9291.66,19399.27,29861.08,40322.89,8831,8222.70829658376,17077.932615981656,26565.672958193685,26565.672958193685,False,False,True,True,-0.12221759235044724,-0.12744829667984794,,
1959,1,48,1936,10600.16,20894.97,31669.62,42550.2,8777,8101.239717298112,18071.996292434247,29912.269725408412,29912.269725408412,False,False,True,True,-0.2688519938582359,-0.14514488613824164,,
1960,1,49,1936,10870.01,21298.59,32456.75,44142.16,8705,8583.198449789126,17779.48250313462,29428.108970705576,29428.108970705576,False,False,True,True,-0.23620099736541095,-0.18059574923944974,,
1961,1,50,1936,10635.86,21647.88,32769.11,44691.22,8589,7887.3998871968415,17594.968979131416,29122.707275803725,29122.707275803725,False,False,True,True,-0.2989647752541293,-0.20729452045404148,,
1962,1,51,1936,12143.0,22642.95,33892.46,46485.21,8505,8395.161380233012,18589.285913373096,28783.410446513182,28783.410446513182,False,False,True,True,-0.3690973583519579,-0.19726315661037383,,
1963,1,52,1936,12316.64,23264.1,34460.5,46877.9,8407,8298.021929582896,18966.907267618048,28450.360901427073,28450.360901427073,False,False,True,True,-0.39493402897338675,-0.20421566198192126,,
1964,1,53,1936,13214.29,24062.62,35471.77,48551.7,8235,8762.78918214402,19278.136200716846,28040.925382860867,28040.925382860867,False,False,True,True,-0.4107845657293632,-0.2216879846263098,,
1965,1,54,1936,13244.24,24582.46,36404.38,48963.37,8145,9213.382581232268,20730.110807772602,27640.147743696805,27640.147743696805,False,False,True,True,-0.3629056854315037,-0.17044590877794366,,
1966,1,55,1936,13697.11,25484.82,37407.31,50222.73,8058,10108.566953797965,21340.308013573478,35941.57139128165,37064.7454972592,False,False,True,True,-0.3038015841111486,-0.17748530139364727,,
1957,1,45,1937,10772.74,20878.65,30952.2,41349.45,9414,9063.601348098218,18127.202696196437,27190.804044294655,27190.804044294655,False,False,True,True,-0.1727523283478503,-0.1413133843289769,,
1958,1,46,1937,10088.63,19766.13,30426.41,40658.13,9226,8222.70829658376,17710.448638795788,26565.672958193685,26565.672958193685,False,False,True,True,-0.2045094158761535,-0.10981508289633658,,
1959,1,47,1937,10936.67,21424.66,32305.25,42643.68,9211,8101.239717298112,18071.996292434247,29912.269725408412,29912.269725408412,False,False,True,True,-0.3001042616044908,-0.17017902103594576,,
1960,1,48,1937,11127.5,21948.46,33106.62,43835.62,9129,8583.198449789126,17779.48250313462,29428.108970705576,29428.108970705576,False,False,True,True,-0.2596128981773869,-0.210651853504887,,
1961,1,49,1937,10890.68,21520.47,32811.58,44484.93,8984,7887.3998871968415,18201.692047377328,29122.707275803725,29122.707275803725,False,False,True,True,-0.32264084240646873,-0.16749001580633227,,
1962,1,50,1937,11633.29,22523.02,34258.25,46407.25,8923,8994.81576453537,18589.285913373096,28783.410446513182,28783.410446513182,False,False,True,True,-0.2572224303982922,-0.1919525087104102,,
1963,1,51,1937,12411.47,23009.23,35041.36,47476.54,8805,8298.021929582896,18966.907267618048,28450.360901427073,28450.360901427073,False,False,True,True,-0.4026038803997122,-0.19319970192904054,,
1964,1,52,1937,13056.56,24319.66,36184.48,48680.21,8707,9346.975127620288,19862.322146193113,28040.925382860867,28040.925382860867,False,False,True,True,-0.3342379142632258,-0.20246049916515743,,
1965,1,53,1937,13514.88,24933.72,37273.89,49896.23,8658,9789.218992559285,20730.110807772602,27640.147743696805,27640.147743696805,False,False,True,True,-0.32250962334647437,-0.18463383249435997,,
