fold,smooth_frac,rho0,heldout_negll,heldout_nobs,heldout_bad_cells,unc_ratio_mean,unc_ratio_min,unc_ratio_max,eta0_years,gmm_nq,alpha_rough_men,solve_sec,lam,min_n,duckdb
0,0.0,0.0,39918050.307238385,29856584,0,0.9994387575378182,0.9830999291971474,1.0018007353799703,5,153239.75474002285,0.5361454736900342,409,0.5,500,v1.5.5
0,1e-05,1.5724550257549335e-09,39918260.59878202,29856584,0,0.9998757217127532,0.9970704256449944,1.0026234923666222,2,152657.38491760258,0.33509066355161343,536,0.5,500,v1.5.5
0,3e-05,4.717365077264799e-09,39917712.13340673,29856584,0,1.000102961711664,0.9973844779923031,1.0015758465602813,2,152832.63164522572,0.2599816913448759,574,0.5,500,v1.5.5
0,0.0001,1.572455025754933e-08,39917844.96420275,29856584,0,0.9999692096327722,0.9946178823229537,1.0045495116873244,2,151935.42361306868,0.22266869793664942,610,0.5,500,v1.5.5
0,0.0003,4.7173650772647987e-08,39916830.33045473,29856584,0,0.9998904281858196,0.9972063805148774,1.0021525202751875,4,151841.8045783712,0.1664153387545505,584,0.5,500,v1.5.5
0,0.001,1.5724550257549332e-07,39916935.6886368,29856584,0,0.99945370736578,0.9808973046653229,1.0014348898261785,8,152408.09112155263,0.1331391097758189,545,0.5,500,v1.5.5
0,0.003,4.7173650772648e-07,39917378.50232978,29856584,0,0.9991507936583691,0.9774934672462483,1.017982288299249,13,155013.07866495516,0.08311782549014984,536,0.5,500,v1.5.5
0,0.01,1.5724550257549334e-06,39947781.93360013,29856584,0,0.9959593169547294,0.9694991870351661,1.0013669186667709,22,161641.3985206741,0.05602324076933957,485,0.5,500,v1.5.5
1,0.0,0.0,39989705.84612864,29928016,0,0.9982750202691771,0.9799614082374565,1.0012582785647635,13,153050.23178358137,0.494652433368173,349,0.5,500,v1.5.5
1,1e-05,1.7657544837114477e-09,39990242.61169939,29928016,0,0.9991706917109686,0.9867926776985556,1.0025044892632717,7,152474.96619018022,0.31072689317802016,491,0.5,500,v1.5.5
1,3e-05,5.297263451134343e-09,39991291.79907589,29928016,0,0.9993431952704055,0.9914263438234471,1.0019626054713462,6,152504.49365983956,0.250236739149776,519,0.5,500,v1.5.5
1,0.0001,1.7657544837114475e-08,39989472.99487066,29928016,0,0.9991191905576454,0.9829918271436896,1.0025568351332768,8,152154.1089519686,0.22798160102912562,509,0.5,500,v1.5.5
1,0.0003,5.297263451134342e-08,39988832.84439054,29928016,0,0.9988428762932556,0.9805698258875771,1.002248743303956,9,152317.80745970077,0.1655605160772702,564,0.5,500,v1.5.5
1,0.001,1.7657544837114476e-07,39988662.6505863,29928016,0,0.9983317355000556,0.9788627639511284,1.0032463461536818,13,152677.6849359073,0.11719612886041597,526,0.5,500,v1.5.5
1,0.003,5.297263451134343e-07,39987495.60138782,29928016,0,0.9967742129070637,0.9705731326593057,1.0048721483288094,17,154370.20384889218,0.07659338912772426,501,0.5,500,v1.5.5
1,0.01,1.7657544837114476e-06,40022635.316696644,29928016,0,0.9935701390921138,0.9667060481263064,1.0030493817157553,21,158865.19232183098,0.050345039544250667,483,0.5,500,v1.5.5
