fold,smooth_frac,year,heldout_negll,n_test,cells,bad_cells
0,0.0,1951,324846.1892559489,281644,107,0
0,0.0,1952,330654.0372249032,290220,109,0
0,0.0,1953,330011.04085339943,295456,109,0
0,0.0,1954,326583.5749742514,289625,109,0
0,0.0,1955,380972.6766018399,317531,112,0
0,0.0,1956,384820.6742508308,330175,113,0
0,0.0,1957,394824.04798999487,344934,112,0
0,0.0,1958,396308.67468487646,341843,112,0
0,0.0,1959,415838.2812505897,349276,111,0
0,0.0,1960,420855.0886198493,354096,111,0
0,0.0,1961,423495.18109416554,355897,112,0
0,0.0,1962,423461.57307439065,362813,111,0
0,0.0,1963,428093.4701219934,369567,112,0
0,0.0,1964,429527.1117837342,378256,111,0
0,0.0,1965,437680.7242309265,393405,112,0
0,0.0,1966,496529.4824347737,413235,112,0
0,0.0,1967,503664.6333650142,423274,113,0
0,0.0,1968,529964.9011111015,436569,113,0
0,0.0,1969,543731.6138958104,450861,113,0
0,0.0,1970,552213.3490949988,454635,114,0
0,0.0,1971,553056.8873651752,455814,114,0
0,0.0,1972,582378.4000411785,470101,114,0
0,0.0,1973,614389.6337528756,487883,114,0
0,0.0,1974,637570.7351392478,495795,114,0
0,0.0,1975,647155.9701784638,491604,114,0
0,0.0,1976,661240.9428354672,503839,114,0
0,0.0,1977,683172.1524126539,519291,113,0
0,0.0,1978,700762.3123471839,536310,113,0
0,0.0,1979,721657.7776794859,549899,114,0
0,0.0,1980,738880.3846150924,553028,114,0
0,0.0,1981,744597.634340332,553485,114,0
0,0.0,1982,751888.366281904,547170,115,0
0,0.0,1983,762816.6875070528,551777,113,0
0,0.0,1984,792660.7631988534,573431,114,0
0,0.0,1985,819377.9299834272,590534,113,0
0,0.0,1986,839249.6369613777,602349,113,0
0,0.0,1987,862149.605893908,618138,114,0
0,0.0,1988,890865.4627539264,637954,115,0
0,0.0,1989,910115.0423275263,650362,116,0
0,0.0,1990,919933.7090766862,655067,116,0
0,0.0,1991,923737.1487908391,652189,116,0
0,0.0,1992,935493.8072750688,656852,118,0
0,0.0,1993,952883.100951603,667023,118,0
0,0.0,1994,971343.1070786753,681396,119,0
0,0.0,1995,984556.5524508944,691996,118,0
0,0.0,1996,1003762.1298946433,704060,119,0
0,0.0,1997,1018274.3195186382,717318,120,0
0,0.0,1998,1034052.7013966647,730678,119,0
0,0.0,1999,1053254.8460298553,743629,121,0
0,0.0,2000,1077289.669591695,756319,121,0
0,0.0,2001,1086724.191865076,757642,122,0
0,0.0,2002,1094476.5814406504,754481,121,0
0,0.0,2003,1102431.9451651883,755926,123,0
0,0.0,2004,1113125.3675359841,763103,123,0
0,0.0,2005,1124512.8861180241,770460,123,0
0,0.0,2006,1134135.5915296755,776369,123,0
0,1e-05,1951,325002.4886915306,281644,107,0
0,1e-05,1952,330604.6584284804,290220,109,0
0,1e-05,1953,330578.3322460451,295456,109,0
0,1e-05,1954,326756.2232465405,289625,109,0
0,1e-05,1955,380863.9855732399,317531,112,0
0,1e-05,1956,384595.1527236483,330175,113,0
0,1e-05,1957,394948.7131647687,344934,112,0
0,1e-05,1958,396450.58238159923,341843,112,0
0,1e-05,1959,415898.146819883,349276,111,0
0,1e-05,1960,420875.5526678115,354096,111,0
0,1e-05,1961,423476.0158784388,355897,112,0
0,1e-05,1962,423364.25327842525,362813,111,0
0,1e-05,1963,428104.30239310424,369567,112,0
0,1e-05,1964,429570.8000201716,378256,111,0
0,1e-05,1965,437702.1243019087,393405,112,0
0,1e-05,1966,496525.21064616065,413235,112,0
0,1e-05,1967,503665.2839732875,423274,113,0
0,1e-05,1968,530037.9881861618,436569,113,0
0,1e-05,1969,543741.1642016639,450861,113,0
0,1e-05,1970,552129.4659073318,454635,114,0
0,1e-05,1971,553003.2889739602,455814,114,0
0,1e-05,1972,582347.8272936183,470101,114,0
0,1e-05,1973,614475.357426794,487883,114,0
0,1e-05,1974,637568.0956719404,495795,114,0
0,1e-05,1975,647167.055623529,491604,114,0
0,1e-05,1976,661274.0177421329,503839,114,0
0,1e-05,1977,683103.052883107,519291,113,0
0,1e-05,1978,700782.0190318945,536310,113,0
0,1e-05,1979,721654.9298655996,549899,114,0
0,1e-05,1980,738870.9919433352,553028,114,0
0,1e-05,1981,744494.8093599173,553485,114,0
0,1e-05,1982,751875.7608721589,547170,115,0
0,1e-05,1983,762842.8099308901,551777,113,0
