year,agg_taxable_musd,agg_uncapped_musd,cov_share_workers,cov_share_earnings,price_2013_to_nominal,renorm_comp
1937,37841.369471,45873.066349,nan,nan,0.07510483,1
1938,36571.916740,44313.753242,nan,nan,0.07339504,1
1939,39152.351598,47578.742978,nan,nan,0.07268176,1
1940,41950.143712,51382.936603,nan,nan,0.07330064,1
1941,51493.348202,64519.492339,nan,nan,0.07786357,1
1942,64112.493604,83817.015749,nan,nan,0.08755587,1
1943,70815.093875,96107.816605,nan,nan,0.09561181,1
1944,72203.148499,100823.461198,nan,nan,0.10109782,1
1945,75076.431566,107322.357659,nan,nan,0.10514676,1
1946,83320.131762,123499.878963,nan,nan,0.11246844,1
1947,89146.515700,139209.204506,nan,nan,0.12387052,1
1948,93100.154228,150721.599462,nan,nan,0.13087978,1
1949,89586.516566,145967.384217,nan,nan,0.12985721,1
1950,94086.520898,155845.876102,nan,nan,0.13140966,1
1951,129900.285315,204491.641844,0.898051,0.959107,0.14035251,1
1952,136018.761231,218884.076379,0.896467,0.957825,0.14323430,1
1953,141370.256896,231874.882636,0.896323,0.957294,0.14514000,1
1954,140903.084114,235449.572401,0.905292,0.962736,0.14637638,1
1955,168205.362940,264561.313655,0.903703,0.963917,0.14697133,1
1956,177857.075252,285719.700785,0.901448,0.961614,0.14990890,1
1957,190692.326817,313658.134031,0.901098,0.961522,0.15446399,1
1958,192411.333326,324692.332428,0.907474,0.965259,0.15809876,1
1959,214755.646278,345229.412184,0.901819,0.965484,0.16046927,1
1960,220749.344337,361814.500736,0.900479,0.964506,0.16310936,1
1961,224676.741856,374692.287226,0.901383,0.965044,0.16481984,1
1962,232198.635973,393541.943519,0.900899,0.964502,0.16676273,1
1963,239564.739648,412716.413339,0.900965,0.965806,0.16871491,1
1964,249902.819636,438459.215339,0.895049,0.963909,0.17117837,1
1965,264626.710933,473098.344603,0.883588,0.958918,0.17366043,1
1966,331845.909102,515722.571290,0.875607,0.959976,0.17806678,1
1967,348332.394701,552259.091735,0.878959,0.960712,0.18254750,1
1968,397507.305546,598882.327204,0.876771,0.962010,0.18965902,1
1969,423433.418485,655196.080840,0.873183,0.959984,0.19825791,1
1970,443997.412619,707640.016837,0.875798,0.960487,0.20753542,1
1971,460125.824891,755222.871955,0.877003,0.961544,0.21635742,1
1972,522331.387485,818492.393265,0.871506,0.960488,0.22375711,1
1973,610393.971238,907015.865336,0.864881,0.958876,0.23582345,1
