year,agg_taxable_musd,agg_uncapped_musd,cov_share_workers,cov_share_earnings,price_2013_to_nominal,renorm_comp
1937,30577.763571,35372.260726,nan,nan,0.07510483,1
1938,29547.161227,34168.250649,nan,nan,0.07339504,1
1939,31648.166766,36684.181951,nan,nan,0.07268176,1
1940,33963.376265,39618.719964,nan,nan,0.07330064,1
1941,41874.859607,49751.100885,nan,nan,0.07786357,1
1942,52550.205878,64634.289900,nan,nan,0.08755587,1
1943,58429.220412,74113.595353,nan,nan,0.09561181,1
1944,59863.226760,77750.024863,nan,nan,0.10109782,1
1945,62483.923078,82758.538605,nan,nan,0.10514676,1
1946,69746.245465,95227.137951,nan,nan,0.11246844,1
1947,75233.237885,107333.357778,nan,nan,0.12387052,1
1948,79002.998616,116201.028283,nan,nan,0.13087978,1
1949,76098.232370,112530.320104,nan,nan,0.12985721,1
1950,80124.592663,120140.068389,nan,nan,0.13140966,1
1951,109849.562303,157755.588712,0.898051,0.959107,0.14035251,1
1952,115294.172607,168659.787801,0.896467,0.957825,0.14323430,1
1953,120140.286487,178574.109505,0.896323,0.957294,0.14514000,1
1954,120171.158013,181421.587321,0.905292,0.962736,0.14637638,1
1955,142255.902418,204006.416164,0.903703,0.963917,0.14697133,1
1956,150830.955773,220177.162662,0.901448,0.961614,0.14990890,1
1957,162511.117192,241928.799034,0.901098,0.961522,0.15446399,1
1958,164549.410954,250392.843755,0.907474,0.965259,0.15809876,1
1959,182116.286716,265971.591988,0.901819,0.965484,0.16046927,1
1960,187552.103066,278486.455124,0.900479,0.964506,0.16310936,1
1961,191256.174837,288235.109548,0.901383,0.965044,0.16481984,1
1962,197782.428200,302261.075022,0.900899,0.964502,0.16676273,1
1963,204213.660005,316497.484116,0.900965,0.965806,0.16871491,1
1964,213268.623289,335637.463556,0.895049,0.963909,0.17117837,1
1965,226048.205346,361315.977991,0.883588,0.958918,0.17366043,1
1966,276610.014806,392478.888486,0.875607,0.959976,0.17806678,1
1967,290655.416713,419114.618973,0.878959,0.960712,0.18254750,1
1968,328163.001817,453162.419175,0.876771,0.962010,0.18965902,1
1969,350278.569436,494250.958733,0.873183,0.959984,0.19825791,1
1970,368554.537685,532500.875296,0.875798,0.960487,0.20753542,1
1971,383532.168823,567186.398960,0.877003,0.961544,0.21635742,1
1972,431465.559747,613277.474810,0.871506,0.960488,0.22375711,1
1973,498677.902785,677853.508825,0.864881,0.958876,0.23582345,1
1974,582144.977162,767292.445480,0.866701,0.960378,0.26037445,1
1975,626090.754869,832396.935768,0.873879,0.963930,0.28211802,1
1976,685427.484417,904824.992641,0.874013,0.964009,0.29759603,1
1977,758572.044800,998604.295616,0.873285,0.964403,0.31691332,1
1978,852854.498364,1123406.269244,0.872177,0.963175,0.33911241,1
1979,999848.367001,1253758.132780,0.875625,0.965449,0.36918529,1
1980,1123359.325795,1402859.983449,0.883822,0.968808,0.40882386,1
1981,1248910.182672,1540833.219353,0.891309,0.972017,0.44535753,1
1982,1326352.658267,1625156.971245,0.902711,0.976519,0.46994571,1
1983,1416083.440239,1713299.658171,0.906761,0.978803,0.49017402,1
1984,1541243.479133,1855545.972240,0.905710,0.979376,0.50871974,1
1985,1661116.546201,1994946.717535,0.905465,0.980077,0.52672629,1
1986,1771714.121718,2111395.595383,0.905586,0.980823,0.53812330,1
1987,1887934.469796,2245252.664748,0.903771,0.980595,0.55451233,1
1988,2035988.388649,2428210.035993,0.902924,0.980130,0.57611646,1
1989,2186315.369223,2596084.316868,0.906031,0.980690,0.60091845,1
1990,2345426.346074,2772840.318239,0.912508,0.982266,0.62692894,1
1991,2440268.163988,2883777.028737,0.920034,0.984166,0.64750121,1
1992,2557765.538607,3019416.103418,0.920540,0.984549,0.66461533,1
1993,2701198.369646,3186477.233027,0.919427,0.984546,0.68120886,1
1994,2850232.641297,3347326.169137,0.916691,0.984019,0.69537612,1
1995,2999321.361024,3539116.457224,0.915113,0.983414,0.70981296,1
1996,3153868.801618,3729429.205742,0.914133,0.983367,0.72491912,1
1997,3323873.244422,3921562.609218,0.913375,0.982994,0.73743167,1
