year,agg_taxable_musd,agg_uncapped_musd,cov_share_workers,cov_share_earnings,price_2013_to_nominal,renorm_comp
1937,36164.228264,44288.257126,nan,nan,0.07510483,1
1938,34952.315676,42786.512648,nan,nan,0.07339504,1
1939,37415.812145,45939.163813,nan,nan,0.07268176,1
1940,40085.475972,49613.021159,nan,nan,0.07330064,1
1941,49196.142521,62299.446661,nan,nan,0.07786357,1
1942,61246.252545,80936.043851,nan,nan,0.08755587,1
1943,67656.297179,92805.715714,nan,nan,0.09561181,1
1944,68996.081732,97365.196386,nan,nan,0.10109782,1
1945,71755.176286,103653.578057,nan,nan,0.10514676,1
1946,79657.937475,119288.842889,nan,nan,0.11246844,1
1947,85279.734125,134465.132631,nan,nan,0.12387052,1
1948,89106.659798,145578.070150,nan,nan,0.13087978,1
1949,85748.755671,140972.933008,nan,nan,0.12985721,1
1950,90080.641032,150490.129466,nan,nan,0.13140966,1
1951,124066.428696,197035.083139,0.898051,0.959107,0.14035251,1
1952,129925.187934,210856.063067,0.896467,0.957825,0.14323430,1
1953,135230.255008,223503.583713,0.896323,0.957294,0.14514000,1
1954,134989.024147,227198.185802,0.905292,0.962736,0.14637638,1
1955,161363.311319,256122.982156,0.903703,0.963917,0.14697133,1
1956,170889.233880,276959.162204,0.901448,0.961614,0.14990890,1
1957,184154.994013,304812.825635,0.901098,0.961522,0.15446399,1
1958,186637.405761,316643.580328,0.907474,0.965259,0.15809876,1
1959,208856.410455,337755.950855,0.901819,0.965484,0.16046927,1
1960,215684.281841,355507.295848,0.900479,0.964506,0.16310936,1
1961,220536.358212,369794.900988,0.901383,0.965044,0.16481984,1
1962,228747.599789,389735.035403,0.900899,0.964502,0.16676273,1
1963,236693.394485,410107.640998,0.900965,0.965806,0.16871491,1
1964,246760.442898,435742.312629,0.895049,0.963909,0.17117837,1
1965,260615.889788,468908.211376,0.883588,0.958918,0.17366043,1
1966,325640.087963,509090.145890,0.875607,0.959976,0.17806678,1
1967,340772.134768,542686.974842,0.878959,0.960712,0.18254750,1
1968,386709.368207,585254.733497,0.876771,0.962010,0.18965902,1
1969,409206.455793,635578.392044,0.873183,0.959984,0.19825791,1
1970,426948.308720,682016.250346,0.875798,0.960487,0.20753542,1
1971,440496.133158,722770.533836,0.877003,0.961544,0.21635742,1
1972,496092.975671,777116.078837,0.871506,0.960488,0.22375711,1
1973,574972.157719,854571.847704,0.864881,0.958876,0.23582345,1
1974,673118.492883,964232.049942,0.866701,0.960378,0.26037445,1
1975,722051.370593,1044193.018421,0.873879,0.963930,0.28211802,1
1976,789274.763888,1131413.013827,0.874013,0.964009,0.29759603,1
1977,871131.545996,1244259.425101,0.873285,0.964403,0.31691332,1
1978,976430.429367,1395361.581516,0.872177,0.963175,0.33911241,1
1979,1153863.173180,1555028.619241,0.875625,0.965449,0.36918529,1
1980,1296497.869795,1738153.548504,0.883822,0.968808,0.40882386,1
1981,1444008.002810,1907286.389007,0.891309,0.972017,0.44535753,1
1982,1534851.809413,2010233.327097,0.902711,0.976519,0.46994571,1
1983,1641880.829157,2117603.032442,0.906761,0.978803,0.49017402,1
1984,1787084.469717,2291320.697791,0.905710,0.979376,0.50871974,1
1985,1924751.769528,2461058.858969,0.905465,0.980077,0.52672629,1
1986,2053892.311330,2602522.869331,0.905586,0.980823,0.53812330,1
1987,2187540.260616,2765998.297420,0.903771,0.980595,0.55451233,1
1988,2356778.472613,2992334.826414,0.902924,0.980130,0.57611646,1
1989,2533509.735512,3201986.713925,0.906031,0.980690,0.60091845,1
1990,2722019.552635,3424536.666292,0.912508,0.982266,0.62692894,1
1991,2833072.044277,3565205.929453,0.920034,0.984166,0.64750121,1
1992,2971350.165947,3737219.703540,0.920540,0.984549,0.66461533,1
1993,3139264.923841,3947545.318604,0.919427,0.984546,0.68120886,1
1994,3317031.486863,4150141.056471,0.916691,0.984019,0.69537612,1
1995,3485945.362567,4387719.113706,0.915113,0.983414,0.70981296,1
1996,3664719.683428,4625775.648378,0.914133,0.983367,0.72491912,1
1997,3865988.374611,4866607.941952,0.913375,0.982994,0.73743167,1
1998,4049309.446039,5069506.967164,0.911375,0.982371,0.74308370,1
1999,4275887.196496,5315366.761836,0.910619,0.982171,0.75400662,1
2000,4557346.803033,5658182.121422,0.910536,0.982078,0.77280333,1
2001,4763466.033361,5892074.008568,0.914241,0.982970,0.78771428,1
2002,4918658.515382,6053645.887150,0.918261,0.983844,0.79829324,1
2003,5069393.285874,6265186.655119,0.920985,0.984233,0.81407801,1
2004,5290420.190221,6596354.029595,0.920959,0.984209,0.83388800,1
2005,5546850.926821,6913540.741567,0.920107,0.983981,0.85766742,1
2006,5871044.190607,7307533.393179,0.919012,0.983814,0.88061020,1
2007,6177871.988538,7677818.066860,nan,nan,0.90266054,1
2008,6398344.207922,7994477.263270,nan,nan,0.93021418,1
2009,6248052.513076,7864327.128488,nan,nan,0.92960994,1
2010,6398501.112178,8066174.725670,nan,nan,0.94497639,1
2011,6685528.701615,8442683.678575,nan,nan,0.96817945,1
2012,6989543.656643,8828353.576878,nan,nan,0.98651136,1
2013,7258972.167771,9201798.740726,nan,nan,1.00000000,1
2014,7573532.505243,9578147.077750,nan,nan,1.01425092,1
2015,7850917.139016,9867884.684027,nan,nan,1.01610980,1
2016,8130292.393504,10240866.025341,nan,nan,1.02639632,1
2017,8487471.706319,10677357.469545,nan,nan,1.04431680,1
2018,8895542.247619,11178166.994782,nan,nan,1.06569397,1
2019,9261803.965684,11604395.592319,nan,nan,1.08096188,1
2020,9388660.026716,11751546.525071,nan,nan,1.09304462,1
2021,10075329.194694,12499298.570946,nan,nan,1.13801290,1
2022,11030289.470515,13787157.940364,nan,nan,1.21245181,1
2023,11563338.561228,14478797.546527,nan,nan,1.25851662,1
2024,12087997.573519,15138916.738341,nan,nan,1.29146482,1
2025,12681500.876560,15880351.302507,nan,nan,1.32543644,1
2026,13268912.303408,16603333.617400,nan,nan,1.35724900,1
2027,13865169.271902,17336601.527466,nan,nan,1.38983152,1
2028,14450395.763289,18058525.015907,nan,nan,1.42321923,1
2029,15046374.254968,18793994.396255,nan,nan,1.45725882,1
2030,15662038.497679,19552584.919616,nan,nan,1.49226632,1
2031,16303856.461738,20343861.698846,nan,nan,1.52812539,1
2032,16959625.643503,21161540.313464,nan,nan,1.56477144,1
2033,17637842.144758,22012035.823771,nan,nan,1.60232966,1
2034,18338813.249560,22891981.672408,nan,nan,1.64079317,1
2035,19066716.565715,23806175.330684,nan,nan,1.68017999,1
2036,19819754.768514,24752347.416604,nan,nan,1.72051228,1
2037,20592709.950599,25723500.792259,nan,nan,1.76181273,1
2038,21400783.094222,26738260.571976,nan,nan,1.80410877,1
2039,22235424.734169,27787696.755804,nan,nan,1.84742021,1
2040,23109017.891332,28887361.381008,nan,nan,1.89178020,1
2041,24017074.589729,30032111.739411,nan,nan,1.93721434,1
2042,24965372.784578,31229924.921676,nan,nan,1.98374885,1
2043,25949749.480982,32473872.824993,nan,nan,2.03140589,1
2044,26975931.499776,33770233.186856,nan,nan,2.08021748,1
2045,28047614.658185,35125050.770237,nan,nan,2.13021183,1
2046,29162668.377652,36536083.658883,nan,nan,2.18120206,1
2047,30329749.546801,38018449.581263,nan,nan,2.23362858,1
2048,31547409.933715,39569374.385398,nan,nan,2.28731520,1
2049,32818159.917748,41190392.603084,nan,nan,2.34229221,1
2050,34145011.167999,42884396.721697,nan,nan,2.39859063,1
2051,35528635.703237,44652292.086693,nan,nan,2.45624222,1
2052,36964957.532536,46487195.893457,nan,nan,2.51527949,1
2053,38455804.705832,48392325.839250,nan,nan,2.57573576,1
2054,40002417.773399,50371830.366480,nan,nan,2.63739037,1
2055,41616116.402869,52443712.758745,nan,nan,2.70078792,1
2056,43292979.272856,54596642.973763,nan,nan,2.76543586,1
2057,45042371.234440,56844038.475371,nan,nan,2.83190479,1
2058,46855268.997484,59170320.786692,nan,nan,2.89996462,1
2059,48732089.341088,61577397.495549,nan,nan,2.96936646,1
2060,50683308.290512,64078531.541932,nan,nan,3.04072287,1
2061,52705518.379228,66666985.727362,nan,nan,3.11378682,1
2062,54802273.602769,69350711.107298,nan,nan,3.18860637,1
2063,56977671.701657,72133072.729664,nan,nan,3.26522373,1
2064,59229087.119275,75008797.227777,nan,nan,3.34335149,1
2065,61559707.487105,77982878.953217,nan,nan,3.42334863,1
2066,63974106.577182,81061133.346065,nan,nan,3.50525988,1
2067,66481098.995142,84249965.394080,nan,nan,3.58947761,1
2068,69084905.982876,87564644.747253,nan,nan,3.67536387,1
2069,71785716.432497,91005568.755806,nan,nan,3.76366854,1
2070,74587772.837184,94573346.367392,nan,nan,3.85409482,1
2071,77496513.482944,98272343.276261,nan,nan,3.94631263,1
2072,80527551.630528,102127843.119081,nan,nan,4.04113652,1
2073,83674763.530495,106129114.920503,nan,nan,4.13823888,1
2074,86950462.222751,110290517.608828,nan,nan,4.23767446,1
2075,90358327.361828,114613974.316425,nan,nan,4.33907027,1
2076,93911106.112644,119121267.605346,nan,nan,4.44332122,1
2077,97613787.782912,123816199.665021,nan,nan,4.55007691,1
2078,101466849.551518,128697770.738901,nan,nan,4.65894765,1
2079,105503637.621417,133815583.642201,nan,nan,4.77089507,1
2080,109716826.191485,139157829.994272,nan,nan,4.88553242,1
2081,114109231.303940,144725862.929061,nan,nan,5.00292432,1
2082,118695447.913078,150539291.721693,nan,nan,5.12313698,1
2083,123486506.378883,156611752.749049,nan,nan,5.24623817,1
2084,128486544.228736,162948286.454092,nan,nan,5.37229729,1
2085,133702544.308455,169559230.811821,nan,nan,5.50138542,1
2086,139139897.059807,176449304.888333,nan,nan,5.63357534,1
2087,144819444.685603,183648589.488253,nan,nan,5.76894158,1
2088,150726358.306717,191132350.191791,nan,nan,5.90699002,1
2089,156878122.058949,198927961.334729,nan,nan,6.04834190,1
2090,163297770.937533,207070062.643459,nan,nan,6.19368872,1
2091,169979383.101664,215546320.395526,nan,nan,6.34252835,1
2092,176928308.955287,224362711.545124,nan,nan,6.49494473,1
2093,184147869.609735,233523580.020081,nan,nan,6.65102380,1
2094,191647276.951094,243040725.192531,nan,nan,6.81085359,1
2095,199441816.852163,252933727.691718,nan,nan,6.97452422,1
2096,207536107.289699,263208030.591721,nan,nan,7.14212799,1
2097,215937660.652312,273872907.654417,nan,nan,7.31375943,1
2098,224657357.457642,284942225.207780,nan,nan,7.48951532,1
