sex,cohort,n_ages,g0,g1,g2,g3,g0_raw,g1_raw,g2_raw,g3_raw,rmse,max_abs_resid,sdlog_gap,max_censored_share,cms_b0,cms_b1,cms_b2,cms_b3,eu_offset,se_g0,se_g1,se_g2,se_g3
female,1957,31,9.617985,0.229867,-0.029652,0.000000,9.174290,0.324752,-0.029652,0.000000,0.024235,0.068169,0.038049,0.006866,1.978896,-0.235639,0.005989,-0.000047,0.387370,0.006876,0.005121,0.006411,0.000000
female,1958,31,9.639733,0.235483,-0.033031,0.000000,9.178399,0.341184,-0.033031,0.000000,0.018973,0.042061,0.041401,0.006260,1.851812,-0.230840,0.005974,-0.000048,0.386807,0.005383,0.004009,0.005019,0.000000
female,1959,31,9.652646,0.232845,-0.042283,0.000000,9.171849,0.368151,-0.042283,0.000000,0.021535,0.049890,0.040541,0.005472,1.896970,-0.243692,0.006500,-0.000054,0.386473,0.006110,0.004550,0.005696,0.000000
female,1960,31,9.660097,0.228710,-0.034574,0.000000,9.205652,0.339346,-0.034574,0.000000,0.025414,0.058849,0.030533,0.004768,1.883209,-0.242264,0.006442,-0.000053,0.386165,0.007210,0.005370,0.006723,0.000000
female,1961,31,9.686154,0.228374,-0.040492,0.000000,9.217095,0.357949,-0.040492,0.000000,0.020054,0.044588,0.028926,0.004751,1.752172,-0.236654,0.006414,-0.000053,0.385151,0.005690,0.004237,0.005305,0.000000
female,1962,31,9.704749,0.229193,-0.033415,0.000000,9.252497,0.336121,-0.033415,0.000000,0.028703,0.075834,0.026888,0.005518,2.275986,-0.279972,0.007563,-0.000063,0.384231,0.008144,0.006065,0.007593,0.000000
female,1963,31,9.733092,0.228992,-0.040142,0.000000,9.263942,0.357447,-0.040142,0.000000,0.027759,0.059763,0.027125,0.005102,1.924392,-0.257597,0.007136,-0.000060,0.383321,0.007876,0.005865,0.007343,0.000000
female,1964,31,9.721096,0.224064,-0.024360,0.000000,9.300232,0.302016,-0.024360,0.000000,0.029597,0.090180,0.023864,0.004682,1.595956,-0.228518,0.006288,-0.000053,0.383260,0.008397,0.006254,0.007829,0.000000
female,1965,31,9.742648,0.221246,-0.032220,0.000000,9.306171,0.324350,-0.032220,0.000000,0.028256,0.070056,0.021246,0.004253,1.295347,-0.210439,0.005978,-0.000051,0.382742,0.008017,0.005970,0.007474,0.000000
female,1966,31,9.768587,0.219331,-0.028959,0.000000,9.343523,0.311999,-0.028959,0.000000,0.028070,0.084060,0.004909,0.003626,0.980054,-0.185806,0.005391,-0.000047,0.382259,0.007964,0.005931,0.007425,0.000000
female,1967,31,9.806282,0.214557,-0.030592,0.000000,9.384675,0.312451,-0.030592,0.000000,0.027584,0.068085,0.003734,0.004256,0.814101,-0.173678,0.005177,-0.000046,0.381528,0.007826,0.005828,0.007297,0.000000
female,1968,31,9.815415,0.220406,-0.015884,0.000000,9.422101,0.271235,-0.015884,0.000000,0.031268,0.084523,-0.001887,0.004665,1.009704,-0.187985,0.005523,-0.000048,0.381134,0.008871,0.006607,0.008271,0.000000
female,1969,31,9.831718,0.226858,-0.017704,0.000000,9.423422,0.283511,-0.017704,0.000000,0.031892,0.080321,-0.002811,0.004077,1.117638,-0.201792,0.006016,-0.000053,0.380869,0.009048,0.006738,0.008436,0.000000
female,1970,31,9.865442,0.230075,-0.019436,0.000000,9.447565,0.292270,-0.019436,0.000000,0.028070,0.065237,-0.015949,0.003626,-0.028538,-0.112142,0.003815,-0.000036,0.380549,0.007964,0.005931,0.007425,0.000000
female,1971,31,9.902684,0.238589,-0.019540,0.000000,9.470919,0.301116,-0.019540,0.000000,0.023347,0.058889,-0.014444,0.002823,-0.465138,-0.078633,0.003035,-0.000030,0.380371,0.006624,0.004933,0.006176,0.000000
female,1972,31,9.922180,0.242996,-0.018364,0.000000,9.486374,0.301762,-0.018364,0.000000,0.019290,0.045866,-0.015347,0.002408,-1.071290,-0.030208,0.001810,-0.000020,0.380336,0.005473,0.004076,0.005103,0.000000
female,1973,31,9.946438,0.243139,-0.024737,0.000000,9.494089,0.322297,-0.024737,0.000000,0.015497,0.030729,-0.016621,0.002207,-1.714712,0.021431,0.000512,-0.000010,0.380234,0.004397,0.003274,0.004099,0.000000
female,1974,31,9.971878,0.250031,-0.032477,0.000000,9.488688,0.353957,-0.032477,0.000000,0.019216,0.040266,-0.019176,0.001899,-1.964875,0.040952,0.000041,-0.000006,0.380196,0.005452,0.004060,0.005083,0.000000
female,1975,31,9.991980,0.239123,-0.030177,0.000000,9.532131,0.335688,-0.030177,0.000000,0.025633,0.069578,-0.029053,0.001684,-1.704208,0.025180,0.000388,-0.000009,0.380182,0.007272,0.005416,0.006780,0.000000
female,1976,31,10.028850,0.239650,-0.036231,0.000000,9.552659,0.355589,-0.036231,0.000000,0.033509,0.081305,-0.035467,0.001419,-0.933573,-0.037438,0.002079,-0.000024,0.380103,0.009507,0.007080,0.008864,0.000000
female,1977,31,10.029789,0.233670,-0.033636,0.000000,9.569808,0.341306,-0.033636,0.000000,0.034329,0.063830,-0.037915,0.001340,-1.171821,-0.015700,0.001464,-0.000018,0.380145,0.009740,0.007253,0.009081,0.000000
female,1978,31,10.045957,0.227927,-0.035536,0.000000,9.590300,0.341643,-0.035536,0.000000,0.033191,0.060043,-0.039663,0.001763,-1.104181,-0.017651,0.001461,-0.000018,0.380041,0.009417,0.007013,0.008780,0.000000
female,1979,31,10.059888,0.225162,-0.035423,0.000000,9.608946,0.338515,-0.035423,0.000000,0.028262,0.056196,-0.049961,0.002508,-1.609210,0.029356,0.000107,-0.000006,0.379869,0.008018,0.005971,0.007476,0.000000
female,1980,31,10.077639,0.220963,-0.040021,0.000000,9.621644,0.349031,-0.040021,0.000000,0.031549,0.060727,-0.052431,0.003253,-1.684044,0.039333,-0.000223,-0.000002,0.379660,0.008951,0.006666,0.008345,0.000000
female,1981,31,10.092856,0.219624,-0.047626,0.000000,9.619535,0.372027,-0.047626,0.000000,0.035902,0.078249,-0.060635,0.003103,-1.487331,0.023877,0.000170,-0.000006,0.379528,0.010186,0.007586,0.009497,0.000000
female,1982,31,10.083715,0.216910,-0.041350,0.000000,9.630802,0.349230,-0.041350,0.000000,0.035594,0.068317,-0.058627,0.002931,-1.452284,0.024847,0.000028,-0.000004,0.379545,0.010099,0.007521,0.009415,0.000000
female,1983,31,10.111898,0.212358,-0.049899,0.000000,9.644384,0.372034,-0.049899,0.000000,0.031154,0.061365,-0.065916,0.002809,-2.020095,0.069720,-0.001083,0.000005,0.379495,0.008839,0.006582,0.008241,0.000000
male,1957,31,10.617011,0.274430,-0.160892,0.000000,9.766039,0.789285,-0.160892,0.000000,0.032529,0.077649,0.083233,0.000387,-3.215674,0.186805,-0.003390,0.000020,0.379447,0.009229,0.006873,0.008605,0.000000
male,1958,31,10.631911,0.257383,-0.164539,0.000000,9.798879,0.783907,-0.164539,0.000000,0.038853,0.107066,0.078247,0.000373,-3.600207,0.216489,-0.004101,0.000025,0.379447,0.011023,0.008209,0.010278,0.000000
male,1959,31,10.633091,0.239574,-0.154633,0.000000,9.853911,0.734401,-0.154633,0.000000,0.039412,0.087611,0.068315,0.000308,-3.584368,0.217553,-0.004177,0.000026,0.379451,0.011182,0.008327,0.010426,0.000000
male,1960,31,10.657059,0.230855,-0.149471,0.000000,9.905046,0.709161,-0.149471,0.000000,0.038295,0.072239,0.070661,0.000251,-3.126500,0.182387,-0.003277,0.000019,0.379460,0.010865,0.008091,0.010130,0.000000
male,1961,31,10.667144,0.216153,-0.150066,0.000000,9.937129,0.696365,-0.150066,0.000000,0.043873,0.111404,0.068303,0.000380,-3.597420,0.219596,-0.004213,0.000026,0.379433,0.012448,0.009270,0.011606,0.000000
male,1962,31,10.677139,0.193409,-0.142744,0.000000,10.002260,0.650190,-0.142744,0.000000,0.039367,0.090239,0.063676,0.000516,-3.188431,0.190066,-0.003482,0.000020,0.379400,0.011169,0.008318,0.010414,0.000000
