sex,cohort,n_ages,g0,g1,g2,g3,g0_raw,g1_raw,g2_raw,g3_raw,rmse,max_abs_resid,sdlog_gap,max_censored_share,cms_b0,cms_b1,cms_b2,cms_b3,eu_offset,se_g0,se_g1,se_g2,se_g3
female,1957,31,9.846570,0.260117,-0.061796,0.000000,9.272185,0.457863,-0.061796,0.000000,0.020937,0.052128,0.136092,0.003225,0.906410,-0.153679,0.004296,-0.000036,0.382423,0.005940,0.004424,0.005538,0.000000
female,1958,31,9.850028,0.267279,-0.064044,0.000000,9.258428,0.472220,-0.064044,0.000000,0.019768,0.055001,0.126777,0.002906,1.137431,-0.178766,0.005044,-0.000043,0.382422,0.005609,0.004177,0.005229,0.000000
female,1959,31,9.861311,0.268052,-0.067087,0.000000,9.260686,0.482729,-0.067087,0.000000,0.019375,0.042875,0.135977,0.002453,1.016163,-0.176220,0.005116,-0.000044,0.382316,0.005497,0.004094,0.005125,0.000000
female,1960,31,9.873331,0.257833,-0.061977,0.000000,9.302139,0.456158,-0.061977,0.000000,0.023167,0.059079,0.123822,0.002102,1.188971,-0.189249,0.005442,-0.000047,0.382114,0.006573,0.004895,0.006128,0.000000
female,1961,31,9.902993,0.256954,-0.070440,0.000000,9.311540,0.482362,-0.070440,0.000000,0.016531,0.035010,0.123140,0.002572,0.559608,-0.144615,0.004434,-0.000039,0.381633,0.004690,0.003493,0.004373,0.000000
female,1962,31,9.915669,0.263457,-0.063696,0.000000,9.331075,0.467285,-0.063696,0.000000,0.026522,0.066116,0.117558,0.002995,1.469398,-0.220669,0.006445,-0.000056,0.381238,0.007525,0.005604,0.007016,0.000000
female,1963,31,9.938209,0.250084,-0.071910,0.000000,9.353985,0.480195,-0.071910,0.000000,0.024998,0.076549,0.114552,0.002931,1.077999,-0.193394,0.005873,-0.000053,0.380867,0.007092,0.005282,0.006613,0.000000
female,1964,31,9.921274,0.246261,-0.054018,0.000000,9.388971,0.419117,-0.054018,0.000000,0.028414,0.076439,0.115030,0.002580,1.176648,-0.198082,0.005876,-0.000052,0.380901,0.008062,0.006004,0.007516,0.000000
female,1965,31,9.945377,0.234275,-0.064963,0.000000,9.404232,0.442156,-0.064963,0.000000,0.028479,0.084444,0.109514,0.002565,1.097059,-0.196929,0.006011,-0.000054,0.380598,0.008080,0.006017,0.007533,0.000000
female,1966,31,9.971305,0.238993,-0.055246,0.000000,9.447486,0.415781,-0.055246,0.000000,0.029933,0.074330,0.092000,0.001985,1.006982,-0.188667,0.005795,-0.000052,0.380426,0.008492,0.006324,0.007918,0.000000
