sex,cohort,n_ages,g0,g1,g2,g3,g0_raw,g1_raw,g2_raw,g3_raw,rmse,max_abs_resid,sdlog_gap,max_censored_share,se_g0,se_g1,se_g2,se_g3,se_g0_raw,se_g1_raw,se_g2_raw,se_g3_raw,wsd_g0,wsd_g1,wsd_g2,wsd_g3,J,df,p_value
female,1957,31,9.230804,0.144335,0.001821,0.000000,9.004530,0.138507,0.001821,0.000000,0.032475,0.075901,0.038132,0.007036,0.008804,0.004389,0.003447,0.000000,0.009960,0.011773,0.003447,0.000000,nan,nan,nan,nan,358.237174,28,5.481e-59
female,1958,31,9.252442,0.163312,-0.006267,0.000000,8.975099,0.183366,-0.006267,0.000000,0.021734,0.046180,0.041468,0.006274,0.009202,0.004560,0.003487,0.000000,0.009766,0.011849,0.003487,0.000000,nan,nan,nan,nan,233.542827,28,2.622e-34
female,1959,31,9.273920,0.156011,-0.016763,0.000000,8.981390,0.209652,-0.016763,0.000000,0.027110,0.052541,0.040786,0.005423,0.008489,0.004339,0.003308,0.000000,0.009643,0.011237,0.003308,0.000000,nan,nan,nan,nan,311.627868,28,1.197e-49
female,1960,31,9.273468,0.153839,-0.017049,0.000000,8.983681,0.208395,-0.017049,0.000000,0.027157,0.055471,0.030355,0.004880,0.008361,0.004227,0.003292,0.000000,0.009880,0.011275,0.003292,0.000000,nan,nan,nan,nan,380.485555,28,1.762e-63
female,1961,31,9.307885,0.153931,-0.022087,0.000000,9.005054,0.224608,-0.022087,0.000000,0.023712,0.047182,0.028961,0.004966,0.008249,0.004219,0.003193,0.000000,0.009777,0.010925,0.003193,0.000000,nan,nan,nan,nan,247.698736,28,4.720e-37
female,1962,31,9.320038,0.144276,-0.010094,0.000000,9.063355,0.176578,-0.010094,0.000000,0.035212,0.080833,0.026800,0.006048,0.008445,0.004242,0.003178,0.000000,0.009147,0.011065,0.003178,0.000000,nan,nan,nan,nan,473.812920,28,1.631e-82
female,1963,31,9.357128,0.151176,-0.018751,0.000000,9.067243,0.211180,-0.018751,0.000000,0.033133,0.072902,0.027225,0.005224,0.008036,0.003925,0.003118,0.000000,0.009310,0.010886,0.003118,0.000000,nan,nan,nan,nan,404.632055,28,2.229e-68
female,1964,31,9.336502,0.144338,-0.004923,0.000000,9.092959,0.160091,-0.004923,0.000000,0.034209,0.098793,0.023715,0.004982,0.007774,0.004011,0.003115,0.000000,0.009331,0.010701,0.003115,0.000000,nan,nan,nan,nan,546.930927,28,1.387e-97
female,1965,31,9.372649,0.141724,-0.011810,0.000000,9.115656,0.179517,-0.011810,0.000000,0.035727,0.094687,0.021402,0.004360,0.007817,0.003954,0.002964,0.000000,0.008868,0.010191,0.002964,0.000000,nan,nan,nan,nan,401.883023,28,8.067e-68
female,1966,31,9.391246,0.141329,-0.005880,0.000000,9.150067,0.160145,-0.005880,0.000000,0.033470,0.103043,0.004953,0.003676,0.007561,0.003806,0.002843,0.000000,0.008251,0.009794,0.002843,0.000000,nan,nan,nan,nan,464.643648,28,1.241e-80
female,1967,31,9.424528,0.134674,-0.007182,0.000000,9.190664,0.157657,-0.007182,0.000000,0.033108,0.085581,0.003670,0.004486,0.006895,0.003540,0.002764,0.000000,0.007642,0.009227,0.002764,0.000000,nan,nan,nan,nan,558.483787,28,5.635e-100
female,1968,31,9.431434,0.136906,0.017470,0.000000,9.257109,0.081000,0.017470,0.000000,0.039438,0.113230,-0.001849,0.004686,0.006891,0.003301,0.002575,0.000000,0.007250,0.008635,0.002575,0.000000,nan,nan,nan,nan,666.736676,28,1.742e-122
female,1969,31,9.439628,0.141768,0.017545,0.000000,9.257714,0.085625,0.017545,0.000000,0.040216,0.108414,-0.002883,0.004314,0.006706,0.003345,0.002619,0.000000,0.007540,0.008794,0.002619,0.000000,nan,nan,nan,nan,725.189635,28,1.050e-134
female,1970,31,9.482407,0.155483,0.015328,0.000000,9.272874,0.106433,0.015328,0.000000,0.033485,0.094224,-0.015856,0.003475,0.006740,0.003674,0.002649,0.000000,0.007312,0.008909,0.002649,0.000000,nan,nan,nan,nan,639.580986,28,8.011e-117
female,1971,31,9.519471,0.166711,0.011912,0.000000,9.283229,0.128592,0.011912,0.000000,0.026996,0.081968,-0.014388,0.002752,0.006109,0.003189,0.002415,0.000000,0.006790,0.007994,0.002415,0.000000,nan,nan,nan,nan,666.765758,28,1.717e-122
female,1972,31,9.537393,0.172917,0.009171,0.000000,9.284202,0.143572,0.009171,0.000000,0.021323,0.060935,-0.015353,0.002393,0.005898,0.002993,0.002148,0.000000,0.006271,0.007203,0.002148,0.000000,nan,nan,nan,nan,626.235448,28,4.819e-114
female,1973,31,9.563225,0.176559,-0.004688,0.000000,9.268730,0.191560,-0.004688,0.000000,0.015080,0.030846,-0.016672,0.002272,0.006140,0.002969,0.002214,0.000000,0.006530,0.007590,0.002214,0.000000,nan,nan,nan,nan,287.174314,28,8.511e-45
female,1974,31,9.598598,0.185755,-0.021092,0.000000,9.247394,0.253250,-0.021092,0.000000,0.019296,0.040918,-0.019208,0.001985,0.005721,0.002892,0.002192,0.000000,0.006279,0.007458,0.002192,0.000000,nan,nan,nan,nan,374.477833,28,2.891e-62
female,1975,31,9.618698,0.171979,-0.017801,0.000000,9.297960,0.228943,-0.017801,0.000000,0.026136,0.057597,-0.029090,0.001799,0.005831,0.002987,0.002204,0.000000,0.006047,0.007331,0.002204,0.000000,nan,nan,nan,nan,714.227043,28,2.069e-132
female,1976,31,9.655662,0.165164,-0.022673,0.000000,9.333358,0.237716,-0.022673,0.000000,0.036209,0.072930,-0.035526,0.001508,0.005618,0.002810,0.002032,0.000000,0.005712,0.006728,0.002032,0.000000,nan,nan,nan,nan,1048.195234,28,9.042e-203
