sex,cohort,source,g0,g1,g2,g3,g0_raw,g1_raw,g2_raw,g3_raw
male,1892,extrap_back,8.774275,0.194749,-0.148226,0.000000,8.083219,0.669072,-0.148226,0.000000
male,1893,extrap_back,8.796100,0.194749,-0.148226,0.000000,8.105043,0.669072,-0.148226,0.000000
male,1894,extrap_back,8.817924,0.194749,-0.148226,0.000000,8.126867,0.669072,-0.148226,0.000000
male,1895,extrap_back,8.839748,0.194749,-0.148226,0.000000,8.148691,0.669072,-0.148226,0.000000
male,1896,extrap_back,8.861572,0.194749,-0.148226,0.000000,8.170515,0.669072,-0.148226,0.000000
male,1897,extrap_back,8.883396,0.194749,-0.148226,0.000000,8.192340,0.669072,-0.148226,0.000000
male,1898,extrap_back,8.905221,0.194749,-0.148226,0.000000,8.214164,0.669072,-0.148226,0.000000
male,1899,extrap_back,8.927045,0.194749,-0.148226,0.000000,8.235988,0.669072,-0.148226,0.000000
male,1900,extrap_back,8.948869,0.194749,-0.148226,0.000000,8.257812,0.669072,-0.148226,0.000000
male,1901,extrap_back,8.970693,0.194749,-0.148226,0.000000,8.279636,0.669072,-0.148226,0.000000
male,1902,extrap_back,8.992517,0.194749,-0.148226,0.000000,8.301461,0.669072,-0.148226,0.000000
male,1903,extrap_back,9.014342,0.194749,-0.148226,0.000000,8.323285,0.669072,-0.148226,0.000000
male,1904,extrap_back,9.036166,0.194749,-0.148226,0.000000,8.345109,0.669072,-0.148226,0.000000
male,1905,extrap_back,9.057990,0.194749,-0.148226,0.000000,8.366933,0.669072,-0.148226,0.000000
male,1906,extrap_back,9.079814,0.194749,-0.148226,0.000000,8.388757,0.669072,-0.148226,0.000000
male,1907,extrap_back,9.101638,0.194749,-0.148226,0.000000,8.410582,0.669072,-0.148226,0.000000
male,1908,extrap_back,9.123463,0.194749,-0.148226,0.000000,8.432406,0.669072,-0.148226,0.000000
male,1909,extrap_back,9.145287,0.194749,-0.148226,0.000000,8.454230,0.669072,-0.148226,0.000000
male,1910,extrap_back,9.167111,0.194749,-0.148226,0.000000,8.476054,0.669072,-0.148226,0.000000
male,1911,extrap_back,9.188935,0.194749,-0.148226,0.000000,8.497878,0.669072,-0.148226,0.000000
male,1912,extrap_back,9.210759,0.194749,-0.148226,0.000000,8.519703,0.669072,-0.148226,0.000000
male,1913,extrap_back,9.232584,0.194749,-0.148226,0.000000,8.541527,0.669072,-0.148226,0.000000
male,1914,extrap_back,9.254408,0.194749,-0.148226,0.000000,8.563351,0.669072,-0.148226,0.000000
male,1915,extrap_back,9.276232,0.194749,-0.148226,0.000000,8.585175,0.669072,-0.148226,0.000000
male,1916,extrap_back,9.298056,0.194749,-0.148226,0.000000,8.606999,0.669072,-0.148226,0.000000
male,1917,extrap_back,9.319880,0.194749,-0.148226,0.000000,8.628824,0.669072,-0.148226,0.000000
male,1918,extrap_back,9.341705,0.194749,-0.148226,0.000000,8.650648,0.669072,-0.148226,0.000000
male,1919,extrap_back,9.363529,0.194749,-0.148226,0.000000,8.672472,0.669072,-0.148226,0.000000
male,1920,extrap_back,9.385353,0.194749,-0.148226,0.000000,8.694296,0.669072,-0.148226,0.000000
male,1921,extrap_back,9.407177,0.194749,-0.148226,0.000000,8.716120,0.669072,-0.148226,0.000000
male,1922,extrap_back,9.429001,0.194749,-0.148226,0.000000,8.737945,0.669072,-0.148226,0.000000
male,1923,extrap_back,9.450826,0.194749,-0.148226,0.000000,8.759769,0.669072,-0.148226,0.000000
male,1924,extrap_back,9.472650,0.194749,-0.148226,0.000000,8.781593,0.669072,-0.148226,0.000000
male,1925,extrap_back,9.494474,0.194749,-0.148226,0.000000,8.803417,0.669072,-0.148226,0.000000
male,1926,extrap_back,9.516298,0.194749,-0.148226,0.000000,8.825241,0.669072,-0.148226,0.000000
male,1927,extrap_back,9.538122,0.194749,-0.148226,0.000000,8.847066,0.669072,-0.148226,0.000000
male,1928,extrap_back,9.559947,0.194749,-0.148226,0.000000,8.868890,0.669072,-0.148226,0.000000
male,1929,extrap_back,9.581771,0.194749,-0.148226,0.000000,8.890714,0.669072,-0.148226,0.000000
male,1930,extrap_back,9.603595,0.194749,-0.148226,0.000000,8.912538,0.669072,-0.148226,0.000000
male,1931,extrap_back,9.625419,0.194749,-0.148226,0.000000,8.934362,0.669072,-0.148226,0.000000
male,1932,extrap_back,9.647243,0.194749,-0.148226,0.000000,8.956187,0.669072,-0.148226,0.000000
male,1933,extrap_back,9.669068,0.194749,-0.148226,0.000000,8.978011,0.669072,-0.148226,0.000000
male,1934,extrap_back,9.690892,0.194749,-0.148226,0.000000,8.999835,0.669072,-0.148226,0.000000
male,1935,extrap_back,9.712716,0.194749,-0.148226,0.000000,9.021659,0.669072,-0.148226,0.000000
male,1936,extrap_back,9.734540,0.194749,-0.148226,0.000000,9.043483,0.669072,-0.148226,0.000000
male,1937,extrap_back,9.756364,0.194749,-0.148226,0.000000,9.065308,0.669072,-0.148226,0.000000
male,1938,extrap_back,9.690708,0.194749,-0.148226,0.000000,8.999651,0.669072,-0.148226,0.000000
male,1939,extrap_back,9.763651,0.194749,-0.148226,0.000000,9.072594,0.669072,-0.148226,0.000000
male,1940,extrap_back,9.810908,0.194749,-0.148226,0.000000,9.119851,0.669072,-0.148226,0.000000
male,1941,extrap_back,9.846426,0.194749,-0.148226,0.000000,9.155369,0.669072,-0.148226,0.000000
male,1942,extrap_back,9.851927,0.194749,-0.148226,0.000000,9.160870,0.669072,-0.148226,0.000000
male,1943,extrap_back,9.916567,0.194749,-0.148226,0.000000,9.225510,0.669072,-0.148226,0.000000
male,1944,extrap_back,9.940086,0.194749,-0.148226,0.000000,9.249029,0.669072,-0.148226,0.000000
male,1945,extrap_back,9.875410,0.194749,-0.148226,0.000000,9.184353,0.669072,-0.148226,0.000000
male,1946,extrap_back,9.858771,0.194749,-0.148226,0.000000,9.167715,0.669072,-0.148226,0.000000
male,1947,extrap_back,9.913664,0.194749,-0.148226,0.000000,9.222607,0.669072,-0.148226,0.000000
male,1948,extrap_back,9.958158,0.194749,-0.148226,0.000000,9.267101,0.669072,-0.148226,0.000000
male,1949,extrap_back,9.989607,0.194749,-0.148226,0.000000,9.298550,0.669072,-0.148226,0.000000
male,1950,extrap_back,10.040079,0.194749,-0.148226,0.000000,9.349022,0.669072,-0.148226,0.000000
male,1951,extrap_back,10.093363,0.194749,-0.148226,0.000000,9.402307,0.669072,-0.148226,0.000000
male,1952,extrap_back,10.119502,0.194749,-0.148226,0.000000,9.428446,0.669072,-0.148226,0.000000
male,1953,extrap_back,10.164101,0.194749,-0.148226,0.000000,9.473044,0.669072,-0.148226,0.000000
male,1954,extrap_back,10.169664,0.194749,-0.148226,0.000000,9.478607,0.669072,-0.148226,0.000000
male,1955,extrap_back,10.207683,0.194749,-0.148226,0.000000,9.516626,0.669072,-0.148226,0.000000
male,1956,extrap_back,10.251947,0.194749,-0.148226,0.000000,9.560890,0.669072,-0.148226,0.000000
male,1957,fit,10.252118,0.228507,-0.143002,0.000000,9.520422,0.686113,-0.143002,0.000000
male,1958,fit,10.271192,0.211448,-0.155528,0.000000,9.534724,0.709138,-0.155528,0.000000
male,1959,fit,10.264751,0.187863,-0.147478,0.000000,9.586627,0.659793,-0.147478,0.000000
male,1960,fit,10.299843,0.178936,-0.144150,0.000000,9.644521,0.640216,-0.144150,0.000000
male,1961,fit,10.312343,0.166989,-0.150973,0.000000,9.658670,0.650103,-0.150973,0.000000
male,1962,fit,10.322390,0.141223,-0.143672,0.000000,9.728633,0.600973,-0.143672,0.000000
male,1963,fit,10.328423,0.131890,-0.142130,0.000000,9.753546,0.586706,-0.142130,0.000000
male,1964,fit,10.331357,0.123606,-0.129416,0.000000,9.802282,0.537737,-0.129416,0.000000
male,1965,fit,10.319677,0.118724,-0.113437,0.000000,9.839320,0.481722,-0.113437,0.000000
male,1966,fit,10.315118,0.105345,-0.101400,0.000000,9.886982,0.429825,-0.101400,0.000000
male,1967,fit,10.337877,0.114751,-0.093609,0.000000,9.914636,0.414300,-0.093609,0.000000
male,1968,fit,10.323306,0.107625,-0.074311,0.000000,9.960870,0.345420,-0.074311,0.000000
male,1969,fit,10.294537,0.119964,-0.063813,0.000000,9.939233,0.324166,-0.063813,0.000000
male,1970,fit,10.285177,0.134247,-0.069480,0.000000,9.892513,0.356583,-0.069480,0.000000
male,1971,fit,10.315727,0.144039,-0.076296,0.000000,9.889947,0.388186,-0.076296,0.000000
male,1972,fit,10.299704,0.149068,-0.070197,0.000000,9.881491,0.373698,-0.070197,0.000000
male,1973,fit,10.278833,0.142877,-0.074842,0.000000,9.858634,0.382371,-0.074842,0.000000
male,1974,fit,10.270086,0.157706,-0.080156,0.000000,9.812557,0.414205,-0.080156,0.000000
male,1975,fit,10.260332,0.160388,-0.074028,0.000000,9.814200,0.397278,-0.074028,0.000000
male,1976,fit,10.241625,0.156019,-0.061860,0.000000,9.833633,0.353971,-0.061860,0.000000
male,1977,fit,10.223904,0.153302,-0.047653,0.000000,9.856629,0.305792,-0.047653,0.000000
male,1978,fit,10.232617,0.145219,-0.044947,0.000000,9.885202,0.289049,-0.044947,0.000000
male,1979,fit,10.226358,0.149067,-0.052909,0.000000,9.852404,0.318376,-0.052909,0.000000
male,1980,fit,10.238081,0.159566,-0.058869,0.000000,9.832071,0.347947,-0.058869,0.000000
male,1981,fit,10.233353,0.169202,-0.065909,0.000000,9.793903,0.380111,-0.065909,0.000000
male,1982,fit,10.248019,0.173801,-0.080340,0.000000,9.764267,0.430889,-0.080340,0.000000
male,1983,fit,10.244145,0.179668,-0.080897,0.000000,9.749580,0.438538,-0.080897,0.000000
male,1984,extrap_fwd,10.284833,0.166261,-0.067785,0.000000,9.845286,0.383172,-0.067785,0.000000
male,1985,extrap_fwd,10.293204,0.166261,-0.067785,0.000000,9.853658,0.383172,-0.067785,0.000000
male,1986,extrap_fwd,10.318446,0.166261,-0.067785,0.000000,9.878900,0.383172,-0.067785,0.000000
male,1987,extrap_fwd,10.338616,0.166261,-0.067785,0.000000,9.899070,0.383172,-0.067785,0.000000
male,1988,extrap_fwd,10.352952,0.166261,-0.067785,0.000000,9.913406,0.383172,-0.067785,0.000000
male,1989,extrap_fwd,10.352971,0.166261,-0.067785,0.000000,9.913425,0.383172,-0.067785,0.000000
male,1990,extrap_fwd,10.343647,0.166261,-0.067785,0.000000,9.904100,0.383172,-0.067785,0.000000
male,1991,extrap_fwd,10.336614,0.166261,-0.067785,0.000000,9.897068,0.383172,-0.067785,0.000000
male,1992,extrap_fwd,10.358454,0.166261,-0.067785,0.000000,9.918907,0.383172,-0.067785,0.000000
male,1993,extrap_fwd,10.353630,0.166261,-0.067785,0.000000,9.914083,0.383172,-0.067785,0.000000
male,1994,extrap_fwd,10.373730,0.166261,-0.067785,0.000000,9.934184,0.383172,-0.067785,0.000000
male,1995,extrap_fwd,10.395215,0.166261,-0.067785,0.000000,9.955669,0.383172,-0.067785,0.000000
male,1996,extrap_fwd,10.410457,0.166261,-0.067785,0.000000,9.970911,0.383172,-0.067785,0.000000
male,1997,extrap_fwd,10.447235,0.166261,-0.067785,0.000000,10.007689,0.383172,-0.067785,0.000000
male,1998,extrap_fwd,10.499903,0.166261,-0.067785,0.000000,10.060357,0.383172,-0.067785,0.000000
male,1999,extrap_fwd,10.536530,0.166261,-0.067785,0.000000,10.096983,0.383172,-0.067785,0.000000
male,2000,extrap_fwd,10.565700,0.166261,-0.067785,0.000000,10.126153,0.383172,-0.067785,0.000000
male,2001,extrap_fwd,10.562645,0.166261,-0.067785,0.000000,10.123099,0.383172,-0.067785,0.000000
male,2002,extrap_fwd,10.556481,0.166261,-0.067785,0.000000,10.116935,0.383172,-0.067785,0.000000
male,2003,extrap_fwd,10.565057,0.166261,-0.067785,0.000000,10.125511,0.383172,-0.067785,0.000000
male,2004,extrap_fwd,10.587053,0.166261,-0.067785,0.000000,10.147507,0.383172,-0.067785,0.000000
male,2005,extrap_fwd,10.599597,0.166261,-0.067785,0.000000,10.160050,0.383172,-0.067785,0.000000
male,2006,extrap_fwd,10.622341,0.166261,-0.067785,0.000000,10.182795,0.383172,-0.067785,0.000000
male,2007,extrap_fwd,10.639390,0.166261,-0.067785,0.000000,10.199843,0.383172,-0.067785,0.000000
male,2008,extrap_fwd,10.629596,0.166261,-0.067785,0.000000,10.190050,0.383172,-0.067785,0.000000
male,2009,extrap_fwd,10.609740,0.166261,-0.067785,0.000000,10.170194,0.383172,-0.067785,0.000000
male,2010,extrap_fwd,10.617622,0.166261,-0.067785,0.000000,10.178076,0.383172,-0.067785,0.000000
male,2011,extrap_fwd,10.623882,0.166261,-0.067785,0.000000,10.184336,0.383172,-0.067785,0.000000
male,2012,extrap_fwd,10.641195,0.166261,-0.067785,0.000000,10.201649,0.383172,-0.067785,0.000000
male,2013,extrap_fwd,10.637005,0.166261,-0.067785,0.000000,10.197458,0.383172,-0.067785,0.000000
male,2014,extrap_fwd,10.659998,0.166261,-0.067785,0.000000,10.220452,0.383172,-0.067785,0.000000
male,2015,extrap_fwd,10.690380,0.166261,-0.067785,0.000000,10.250834,0.383172,-0.067785,0.000000
male,2016,extrap_fwd,10.692601,0.166261,-0.067785,0.000000,10.253055,0.383172,-0.067785,0.000000
male,2017,extrap_fwd,10.709254,0.166261,-0.067785,0.000000,10.269707,0.383172,-0.067785,0.000000
male,2018,extrap_fwd,10.724985,0.166261,-0.067785,0.000000,10.285439,0.383172,-0.067785,0.000000
male,2019,extrap_fwd,10.744249,0.166261,-0.067785,0.000000,10.304703,0.383172,-0.067785,0.000000
male,2020,extrap_fwd,10.762633,0.166261,-0.067785,0.000000,10.323087,0.383172,-0.067785,0.000000
male,2021,extrap_fwd,10.811060,0.166261,-0.067785,0.000000,10.371514,0.383172,-0.067785,0.000000
male,2022,extrap_fwd,10.797792,0.166261,-0.067785,0.000000,10.358246,0.383172,-0.067785,0.000000
male,2023,extrap_fwd,10.799291,0.166261,-0.067785,0.000000,10.359744,0.383172,-0.067785,0.000000
male,2024,extrap_fwd,10.811219,0.166261,-0.067785,0.000000,10.371673,0.383172,-0.067785,0.000000
male,2025,extrap_fwd,10.827290,0.166261,-0.067785,0.000000,10.387743,0.383172,-0.067785,0.000000
male,2026,extrap_fwd,10.843753,0.166261,-0.067785,0.000000,10.404207,0.383172,-0.067785,0.000000
male,2027,extrap_fwd,10.860020,0.166261,-0.067785,0.000000,10.420474,0.383172,-0.067785,0.000000
male,2028,extrap_fwd,10.875598,0.166261,-0.067785,0.000000,10.436052,0.383172,-0.067785,0.000000
male,2029,extrap_fwd,10.891472,0.166261,-0.067785,0.000000,10.451925,0.383172,-0.067785,0.000000
