sex,cohort,n_ages,g0,g1,g2,g3,g0_raw,g1_raw,g2_raw,g3_raw,rmse,max_abs_resid,sdlog_gap,max_censored_share,se_g0,se_g1,se_g2,se_g3,h_young,h_old,delta,se_h_young,se_h_old,se_delta,h_old_filled,n_epuf,n_young,n_old,rmse_gksw,rmse_epuf,J,df,p_value
female,1957,31,9.434687,0.124846,-0.003588,0.000000,9.225749,0.136327,-0.003588,0.000000,0.069636,0.205612,0.040160,0.003845,0.003426,0.001949,0.001602,0.000000,-0.121538,-0.554836,0.008853,0.021517,0.020831,0.008704,0,51,5,15,0.032182,0.084659,2296.0751,76,0.000e+00
female,1958,31,9.439342,0.138063,-0.006226,0.000000,9.202503,0.157985,-0.006226,0.000000,0.059002,0.186292,0.042895,0.003518,0.003369,0.001825,0.001552,0.000000,-0.088236,-0.562519,0.025044,0.022352,0.020667,0.008631,0,51,5,15,0.023820,0.072474,1534.7755,76,2.270e-270
female,1959,31,9.472397,0.137411,-0.021571,0.000000,9.197317,0.206439,-0.021571,0.000000,0.060018,0.199159,0.042165,0.003007,0.003517,0.001913,0.001565,0.000000,-0.008287,-0.449970,0.022383,0.022434,0.021158,0.008675,0,51,5,15,0.026422,0.073263,1912.7041,76,0.000e+00
female,1960,31,9.456508,0.128470,-0.010697,0.000000,9.223570,0.162702,-0.010697,0.000000,0.048952,0.148135,0.031502,0.002776,0.003445,0.001825,0.001532,0.000000,-0.106315,-0.484943,0.031978,0.022440,0.018802,0.008393,0,51,5,15,0.022449,0.059553,1524.9448,76,2.441e-268
female,1961,31,9.500100,0.135115,-0.020964,0.000000,9.230248,0.202199,-0.020964,0.000000,0.051717,0.196041,0.029809,0.003076,0.003359,0.001905,0.001513,0.000000,0.056196,-0.362600,0.021112,0.021506,0.019363,0.008389,0,51,5,15,0.019751,0.063744,1134.3359,76,2.884e-188
female,1962,31,9.506129,0.134913,-0.011640,0.000000,9.260470,0.172161,-0.011640,0.000000,0.046914,0.152281,0.027352,0.003656,0.003331,0.001782,0.001520,0.000000,-0.064986,-0.471430,0.029119,0.021697,0.019682,0.008168,0,50,5,14,0.028225,0.055422,2053.8927,75,0.000e+00
female,1963,31,9.544618,0.129516,-0.021109,0.000000,9.283354,0.197064,-0.021109,0.000000,0.052785,0.188627,0.027395,0.003365,0.003159,0.001683,0.001487,0.000000,-0.108104,-0.369442,0.015849,0.021352,0.019043,0.008014,0,49,5,13,0.029445,0.063249,2070.4154,74,0.000e+00
female,1964,31,9.528628,0.129683,-0.009373,0.000000,9.297140,0.159678,-0.009373,0.000000,0.047189,0.206586,0.024019,0.003018,0.003242,0.001713,0.001462,0.000000,-0.279728,-0.383946,0.051646,0.020867,0.018192,0.007843,0,48,5,12,0.028531,0.056029,2078.2622,73,0.000e+00
female,1965,31,9.554399,0.116240,-0.011502,0.000000,9.338968,0.153048,-0.011502,0.000000,0.050333,0.245502,0.021240,0.002889,0.003103,0.001700,0.001411,0.000000,-0.441893,-0.295146,0.042478,0.019610,0.018951,0.007244,0,47,5,11,0.032986,0.059048,2042.6067,72,0.000e+00
female,1966,31,9.563343,0.109272,0.001012,0.000000,9.391098,0.106035,0.001012,0.000000,0.048518,0.194858,0.004477,0.002481,0.002850,0.001609,0.001261,0.000000,-0.578996,-0.299639,0.047058,0.018658,0.019075,0.007815,0,46,5,10,0.033198,0.056548,2631.9647,71,0.000e+00
female,1967,31,9.600401,0.101783,-0.003160,0.000000,9.429458,0.111896,-0.003160,0.000000,0.041928,0.120641,0.002935,0.003104,0.002958,0.001563,0.001263,0.000000,-0.534897,-0.195709,0.052821,0.018040,0.018201,0.006958,0,45,5,9,0.031868,0.047638,2389.9834,70,0.000e+00
female,1968,31,9.611434,0.109257,0.026684,0.000000,9.504935,0.023867,0.026684,0.000000,0.048131,0.138172,-0.002649,0.002961,0.002798,0.001543,0.001251,0.000000,-0.731154,-0.372629,0.048004,0.017088,0.019186,0.006506,0,44,5,8,0.039254,0.053508,2639.1207,69,0.000e+00
female,1969,31,9.627370,0.116674,0.017591,0.000000,9.485725,0.060382,0.017591,0.000000,0.043882,0.110173,-0.003730,0.002853,0.002722,0.001527,0.001293,0.000000,-0.672202,-0.288214,0.059648,0.017961,0.020775,0.007029,0,43,5,7,0.035297,0.049149,2726.1484,68,0.000e+00
female,1970,31,9.641693,0.115842,0.018216,0.000000,9.502978,0.057551,0.018216,0.000000,0.042306,0.146062,-0.017284,0.002506,0.002716,0.001560,0.001281,0.000000,-0.724285,-0.304683,0.066546,0.017386,0.023202,0.006795,0,42,5,6,0.032818,0.048124,2559.6990,67,0.000e+00
female,1971,31,9.694463,0.119434,0.014136,0.000000,9.539556,0.074200,0.014136,0.000000,0.047554,0.159974,-0.015927,0.002022,0.002726,0.001382,0.001193,0.000000,-0.781957,-0.303902,0.074474,0.015991,0.022596,0.006555,0,41,5,5,0.027980,0.058132,2991.8419,66,0.000e+00
female,1972,31,9.696312,0.122883,0.015486,0.000000,9.539342,0.073329,0.015486,0.000000,0.041585,0.156484,-0.017065,0.001850,0.002560,0.001348,0.001152,0.000000,-0.738281,-0.300535,0.079270,0.014762,0.026795,0.005832,0,40,5,4,0.024236,0.051130,3031.6858,65,0.000e+00
female,1973,31,9.732790,0.123980,0.004435,0.000000,9.545777,0.109787,0.004435,0.000000,0.042679,0.127829,-0.018387,0.001670,0.002416,0.001344,0.001113,0.000000,-0.663923,-0.375009,0.075471,0.015353,nan,0.006238,1,39,5,3,0.015046,0.055583,1834.0340,65,0.000e+00
female,1974,31,9.756991,0.138344,-0.011254,0.000000,9.506830,0.174357,-0.011254,0.000000,0.040360,0.119869,-0.021035,0.001470,0.002520,0.001324,0.001131,0.000000,-0.552566,-0.375009,0.073093,0.015166,nan,0.005793,1,38,5,2,0.018585,0.051730,1722.4268,64,0.000e+00
female,1975,31,9.778601,0.129488,-0.003221,0.000000,9.563174,0.139795,-0.003221,0.000000,0.029469,0.126855,-0.030904,0.001246,0.002555,0.001372,0.001152,0.000000,-0.699487,-0.375009,0.059166,0.014983,nan,0.006040,1,37,5,1,0.021376,0.034831,1987.4570,63,0.000e+00
female,1976,31,9.807743,0.127325,-0.010832,0.000000,9.576294,0.161986,-0.010832,0.000000,0.039474,0.109872,-0.037522,0.001097,0.002469,0.001272,0.001086,0.000000,-0.828978,-0.375009,0.062830,0.014116,nan,0.005460,1,36,5,0,0.030570,0.045774,3084.1251,62,0.000e+00
female,1977,31,9.794296,0.125029,-0.006505,0.000000,9.577598,0.145844,-0.006505,0.000000,0.036908,0.107544,-0.040058,0.001047,0.002499,0.001322,0.001123,0.000000,-0.845754,-0.375009,0.072258,0.013342,nan,0.005614,1,35,5,0,0.033916,0.039368,3228.0796,61,0.000e+00
female,1978,31,9.816849,0.118426,-0.006948,0.000000,9.609581,0.140659,-0.006948,0.000000,0.034079,0.109347,-0.041806,0.001384,0.002398,0.001255,0.001063,0.000000,-0.828574,-0.375009,0.041781,0.013835,nan,0.005493,1,34,5,0,0.031298,0.036430,2553.2412,60,0.000e+00
female,1979,31,9.830853,0.118607,-0.003175,0.000000,9.632955,0.128766,-0.003175,0.000000,0.032504,0.076697,-0.052074,0.001857,0.002432,0.001328,0.001083,0.000000,-0.928875,-0.375009,0.045513,0.013973,nan,0.005567,1,33,5,0,0.025563,0.037884,2237.4772,59,0.000e+00
female,1980,31,9.844158,0.118568,-0.010848,0.000000,9.626678,0.153282,-0.010848,0.000000,0.035598,0.115563,-0.054541,0.002488,0.002517,0.001385,0.001120,0.000000,-0.878411,-0.375009,0.027797,0.013336,nan,0.005256,1,32,5,0,0.031882,0.038861,3044.7120,58,0.000e+00
female,1981,31,9.853621,0.112859,-0.011118,0.000000,9.644586,0.148435,-0.011118,0.000000,0.037875,0.097634,-0.062750,0.002280,0.002578,0.001356,0.001114,0.000000,-0.881971,-0.375009,0.025736,0.013485,nan,0.005466,1,31,5,0,0.037311,0.038431,3505.5534,57,0.000e+00
female,1982,31,9.839704,0.110265,-0.004663,0.000000,9.651342,0.125187,-0.004663,0.000000,0.037630,0.084270,-0.060744,0.002179,0.002452,0.001390,0.001086,0.000000,-0.908156,-0.375009,0.041552,0.013611,nan,0.005080,1,30,5,0,0.039081,0.036070,3717.6270,56,0.000e+00
female,1983,31,9.869362,0.104522,-0.015476,0.000000,9.662509,0.154044,-0.015476,0.000000,0.034207,0.073495,-0.068074,0.002122,0.002547,0.001351,0.001108,0.000000,-0.846752,-0.375009,0.025579,0.012549,nan,0.004925,1,29,5,0,0.031599,0.036791,3118.5214,55,0.000e+00
male,1957,31,10.394244,0.184639,-0.126133,0.000000,9.775921,0.588265,-0.126133,0.000000,0.074925,0.264315,0.080597,0.000236,0.002814,0.001519,0.001254,0.000000,-0.749418,-0.393779,-0.067587,0.019610,0.018123,0.006184,0,40,5,15,0.025878,0.097188,3644.8685,65,0.000e+00
male,1958,31,10.420730,0.181205,-0.134858,0.000000,9.785566,0.612750,-0.134858,0.000000,0.054410,0.168627,0.075625,0.000215,0.002839,0.001542,0.001213,0.000000,-0.835602,-0.383454,-0.076605,0.019731,0.019349,0.006755,0,40,5,15,0.033623,0.066171,3821.9487,65,0.000e+00
male,1959,31,10.434383,0.158425,-0.149293,0.000000,9.798713,0.636161,-0.149293,0.000000,0.063435,0.178277,0.065659,0.000215,0.002827,0.001551,0.001268,0.000000,-0.513594,-0.267745,-0.084782,0.018591,0.018361,0.006186,0,42,5,15,0.035555,0.077853,4279.0455,67,0.000e+00
male,1960,31,10.461838,0.150785,-0.144138,0.000000,9.851588,0.612027,-0.144138,0.000000,0.062228,0.191688,0.068000,0.000150,0.002772,0.001507,0.001253,0.000000,-0.601116,-0.141321,-0.086046,0.017876,0.017369,0.006261,0,42,5,15,0.034856,0.076378,3768.9752,67,0.000e+00
male,1961,31,10.465864,0.141314,-0.151684,0.000000,9.851450,0.626703,-0.151684,0.000000,0.062054,0.199784,0.065631,0.000229,0.002864,0.001508,0.001244,0.000000,-0.728068,-0.081432,-0.076663,0.017143,0.017778,0.006511,0,43,5,15,0.040768,0.073679,5593.3398,68,0.000e+00
male,1962,31,10.479514,0.117108,-0.141695,0.000000,9.929404,0.570530,-0.141695,0.000000,0.057208,0.172017,0.061003,0.000351,0.002797,0.001524,0.001262,0.000000,-1.069026,-0.056403,-0.078687,0.015925,0.017135,0.006377,0,42,5,14,0.033916,0.069565,3881.3192,67,0.000e+00
male,1963,31,10.506813,0.117864,-0.143289,0.000000,9.951412,0.576388,-0.143289,0.000000,0.056148,0.161382,0.046817,0.000308,0.002685,0.001466,0.001285,0.000000,-1.194162,-0.023758,-0.070939,0.016185,0.017920,0.006358,0,44,5,13,0.035583,0.066946,4952.1945,69,0.000e+00
male,1964,31,10.499725,0.095968,-0.130061,0.000000,10.013220,0.512163,-0.130061,0.000000,0.063092,0.281300,0.043954,0.000301,0.002681,0.001515,0.001199,0.000000,-1.323922,0.078939,-0.072377,0.016535,0.017693,0.006234,0,43,5,12,0.033697,0.077664,4199.0216,68,0.000e+00
male,1965,31,10.490127,0.081224,-0.124427,0.000000,10.041636,0.479389,-0.124427,0.000000,0.045953,0.123620,0.024228,0.000301,0.002629,0.001386,0.001129,0.000000,-1.527375,0.020429,-0.068152,0.015056,0.017268,0.005971,0,44,5,11,0.030959,0.054075,4073.7249,69,0.000e+00
male,1966,31,10.488045,0.075397,-0.109641,0.000000,10.086729,0.426248,-0.109641,0.000000,0.035124,0.117001,0.022881,0.000236,0.002666,0.001440,0.001173,0.000000,-1.690786,0.021908,-0.052276,0.014400,0.018000,0.005997,0,43,5,10,0.026631,0.040148,3351.7119,68,0.000e+00
male,1967,31,10.521094,0.077970,-0.101916,0.000000,10.135436,0.404102,-0.101916,0.000000,0.036950,0.085249,0.012168,0.000301,0.002658,0.001408,0.001161,0.000000,-1.809760,-0.014856,-0.045175,0.013968,0.017069,0.005667,0,43,5,9,0.026770,0.042814,3612.6360,68,0.000e+00
male,1968,31,10.515101,0.071295,-0.088106,0.000000,10.175478,0.353234,-0.088106,0.000000,0.036567,0.076240,0.009014,0.000337,0.002574,0.001336,0.001154,0.000000,-1.772176,-0.027063,-0.060290,0.013619,0.017223,0.005505,0,43,5,8,0.029970,0.040665,3057.2615,68,0.000e+00
male,1969,31,10.487551,0.070024,-0.081036,0.000000,10.168061,0.329340,-0.081036,0.000000,0.031001,0.077639,-0.006581,0.000344,0.002597,0.001368,0.001148,0.000000,-1.632372,-0.058937,-0.044539,0.014284,0.019255,0.005954,0,43,5,7,0.024532,0.034929,2748.4351,68,0.000e+00
male,1970,31,10.486218,0.086518,-0.084439,0.000000,10.131626,0.356722,-0.084439,0.000000,0.036139,0.073706,-0.023452,0.000308,0.002459,0.001393,0.001080,0.000000,-1.564864,-0.021910,-0.048778,0.014190,0.020581,0.005561,0,42,5,6,0.031681,0.039105,4174.5044,67,0.000e+00
male,1971,31,10.493266,0.088581,-0.080808,0.000000,10.144667,0.347167,-0.080808,0.000000,0.038695,0.110490,-0.015518,0.000250,0.002448,0.001254,0.001077,0.000000,-1.759954,-0.019355,-0.051171,0.012713,0.022251,0.005587,0,41,5,5,0.029078,0.044611,4586.5418,66,0.000e+00
male,1972,31,10.463666,0.087785,-0.074829,0.000000,10.131649,0.327236,-0.074829,0.000000,0.029560,0.074305,-0.030096,0.000243,0.002507,0.001252,0.001071,0.000000,-1.711755,0.036634,-0.036347,0.012741,0.025408,0.005083,0,40,5,4,0.025338,0.032456,3338.1731,65,0.000e+00
male,1973,31,10.445524,0.086161,-0.068023,0.000000,10.133528,0.303833,-0.068023,0.000000,0.028802,0.063465,-0.033722,0.000243,0.002379,0.001278,0.001044,0.000000,-1.564761,-0.083256,-0.054157,0.012681,nan,0.005308,1,39,5,3,0.025909,0.030909,3032.2530,65,0.000e+00
male,1974,31,10.433504,0.099840,-0.077823,0.000000,10.074532,0.348875,-0.077823,0.000000,0.037738,0.097198,-0.041362,0.000236,0.002492,0.001250,0.001064,0.000000,-1.334910,-0.083256,-0.042926,0.013544,nan,0.005189,1,38,5,2,0.031030,0.042433,4240.5133,64,0.000e+00
male,1975,31,10.437845,0.113782,-0.076338,0.000000,10.060368,0.358064,-0.076338,0.000000,0.045051,0.128968,-0.044583,0.000208,0.002503,0.001317,0.001101,0.000000,-1.068644,-0.083256,-0.049891,0.012649,nan,0.005145,1,37,5,1,0.035407,0.051765,5621.5480,63,0.000e+00
male,1976,31,10.415706,0.109554,-0.060761,0.000000,10.084872,0.303988,-0.060761,0.000000,0.038317,0.139396,-0.044052,0.000172,0.002476,0.001248,0.001060,0.000000,-1.020888,-0.083256,-0.057295,0.012444,nan,0.005028,1,36,5,0,0.030873,0.043724,6343.5804,62,0.000e+00
