sex,cohort,source,g0,g1,g2,g3,h_young,h_old,g0_raw,g1_raw,g2_raw,g3_raw
male,1892,extrap_back,8.637682,0.163274,-0.141221,0.000000,-0.685560,-0.253546,8.014918,0.615181,-0.141221,0.000000
male,1893,extrap_back,8.659506,0.163274,-0.141221,0.000000,-0.685560,-0.253546,8.036742,0.615181,-0.141221,0.000000
male,1894,extrap_back,8.681330,0.163274,-0.141221,0.000000,-0.685560,-0.253546,8.058566,0.615181,-0.141221,0.000000
male,1895,extrap_back,8.703155,0.163274,-0.141221,0.000000,-0.685560,-0.253546,8.080391,0.615181,-0.141221,0.000000
male,1896,extrap_back,8.724979,0.163274,-0.141221,0.000000,-0.685560,-0.253546,8.102215,0.615181,-0.141221,0.000000
male,1897,extrap_back,8.746803,0.163274,-0.141221,0.000000,-0.685560,-0.253546,8.124039,0.615181,-0.141221,0.000000
male,1898,extrap_back,8.768627,0.163274,-0.141221,0.000000,-0.685560,-0.253546,8.145863,0.615181,-0.141221,0.000000
male,1899,extrap_back,8.790451,0.163274,-0.141221,0.000000,-0.685560,-0.253546,8.167687,0.615181,-0.141221,0.000000
male,1900,extrap_back,8.812276,0.163274,-0.141221,0.000000,-0.685560,-0.253546,8.189512,0.615181,-0.141221,0.000000
male,1901,extrap_back,8.834100,0.163274,-0.141221,0.000000,-0.685560,-0.253546,8.211336,0.615181,-0.141221,0.000000
male,1902,extrap_back,8.855924,0.163274,-0.141221,0.000000,-0.685560,-0.253546,8.233160,0.615181,-0.141221,0.000000
male,1903,extrap_back,8.877748,0.163274,-0.141221,0.000000,-0.685560,-0.253546,8.254984,0.615181,-0.141221,0.000000
male,1904,extrap_back,8.899572,0.163274,-0.141221,0.000000,-0.685560,-0.253546,8.276808,0.615181,-0.141221,0.000000
male,1905,extrap_back,8.921397,0.163274,-0.141221,0.000000,-0.685560,-0.253546,8.298633,0.615181,-0.141221,0.000000
male,1906,extrap_back,8.943221,0.163274,-0.141221,0.000000,-0.685560,-0.253546,8.320457,0.615181,-0.141221,0.000000
male,1907,extrap_back,8.965045,0.163274,-0.141221,0.000000,-0.685560,-0.253546,8.342281,0.615181,-0.141221,0.000000
male,1908,extrap_back,8.986869,0.163274,-0.141221,0.000000,-0.685560,-0.253546,8.364105,0.615181,-0.141221,0.000000
male,1909,extrap_back,9.008693,0.163274,-0.141221,0.000000,-0.685560,-0.253546,8.385929,0.615181,-0.141221,0.000000
male,1910,extrap_back,9.030518,0.163274,-0.141221,0.000000,-0.685560,-0.253546,8.407754,0.615181,-0.141221,0.000000
male,1911,extrap_back,9.052342,0.163274,-0.141221,0.000000,-0.685560,-0.253546,8.429578,0.615181,-0.141221,0.000000
male,1912,extrap_back,9.074166,0.163274,-0.141221,0.000000,-0.685560,-0.253546,8.451402,0.615181,-0.141221,0.000000
male,1913,extrap_back,9.095990,0.163274,-0.141221,0.000000,-0.685560,-0.253546,8.473226,0.615181,-0.141221,0.000000
male,1914,extrap_back,9.117814,0.163274,-0.141221,0.000000,-0.685560,-0.253546,8.495050,0.615181,-0.141221,0.000000
male,1915,extrap_back,9.139639,0.163274,-0.141221,0.000000,-0.685560,-0.253546,8.516875,0.615181,-0.141221,0.000000
male,1916,extrap_back,9.161463,0.163274,-0.141221,0.000000,-0.685560,-0.253546,8.538699,0.615181,-0.141221,0.000000
male,1917,extrap_back,9.183287,0.163274,-0.141221,0.000000,-0.685560,-0.253546,8.560523,0.615181,-0.141221,0.000000
male,1918,extrap_back,9.205111,0.163274,-0.141221,0.000000,-0.685560,-0.253546,8.582347,0.615181,-0.141221,0.000000
male,1919,extrap_back,9.226935,0.163274,-0.141221,0.000000,-0.685560,-0.253546,8.604171,0.615181,-0.141221,0.000000
male,1920,extrap_back,9.248760,0.163274,-0.141221,0.000000,-0.685560,-0.253546,8.625996,0.615181,-0.141221,0.000000
male,1921,extrap_back,9.270584,0.163274,-0.141221,0.000000,-0.685560,-0.253546,8.647820,0.615181,-0.141221,0.000000
male,1922,extrap_back,9.292408,0.163274,-0.141221,0.000000,-0.685560,-0.253546,8.669644,0.615181,-0.141221,0.000000
male,1923,extrap_back,9.314232,0.163274,-0.141221,0.000000,-0.685560,-0.253546,8.691468,0.615181,-0.141221,0.000000
male,1924,extrap_back,9.336056,0.163274,-0.141221,0.000000,-0.685560,-0.253546,8.713292,0.615181,-0.141221,0.000000
