sex,cohort,n_ages,g0,g1,g2,g3,g0_raw,g1_raw,g2_raw,g3_raw,rmse,max_abs_resid,sdlog_gap,max_censored_share,se_g0,se_g1,se_g2,se_g3,se_g0_raw,se_g1_raw,se_g2_raw,se_g3_raw,wsd_g0,wsd_g1,wsd_g2,wsd_g3,J,df,p_value
female,1957,31,9.200194,0.206131,-0.005139,0.000000,8.857228,0.222575,-0.005139,0.000000,0.283718,0.886086,0.037569,0.006403,0.007968,0.004045,0.003046,0.000000,0.008846,0.010402,0.003046,0.000000,nan,nan,nan,nan,9137.273736,214,0.000e+00
female,1958,31,9.199266,0.203038,-0.000106,0.000000,8.874133,0.203377,-0.000106,0.000000,0.281531,0.936377,0.040254,0.006550,0.008177,0.004069,0.003108,0.000000,0.008680,0.010570,0.003108,0.000000,nan,nan,nan,nan,8976.300258,214,0.000e+00
female,1959,31,9.259754,0.209485,-0.022133,0.000000,8.867918,0.280311,-0.022133,0.000000,0.287960,0.908555,0.040644,0.005005,0.007765,0.003794,0.003012,0.000000,0.008219,0.010241,0.003012,0.000000,nan,nan,nan,nan,8866.110173,214,0.000e+00
female,1960,31,9.244535,0.210600,-0.034874,0.000000,8.818296,0.322199,-0.034874,0.000000,0.272591,0.878202,0.029431,0.004831,0.007632,0.003867,0.002907,0.000000,0.008362,0.009812,0.002907,0.000000,nan,nan,nan,nan,9405.656049,214,0.000e+00
female,1961,31,9.210976,0.201956,-0.028706,0.000000,8.814358,0.293816,-0.028706,0.000000,0.269241,0.812030,0.026161,0.005582,0.007182,0.003846,0.002964,0.000000,0.008692,0.009843,0.002964,0.000000,nan,nan,nan,nan,10739.900413,214,0.000e+00
female,1962,31,9.240824,0.170071,0.005189,0.000000,8.981993,0.153468,0.005189,0.000000,0.261142,0.856200,0.025150,0.006134,0.007566,0.003814,0.002953,0.000000,0.008204,0.010032,0.002953,0.000000,nan,nan,nan,nan,11425.861360,214,0.000e+00
female,1963,31,9.343777,0.216600,-0.021033,0.000000,8.943373,0.283905,-0.021033,0.000000,0.273493,0.940583,0.027216,0.004056,0.007048,0.003550,0.002766,0.000000,0.008246,0.009645,0.002766,0.000000,nan,nan,nan,nan,11603.294185,214,0.000e+00
female,1964,31,9.284971,0.207285,-0.004434,0.000000,8.941963,0.221475,-0.004434,0.000000,0.261900,0.884810,0.022769,0.004589,0.006935,0.003600,0.002796,0.000000,0.008390,0.009725,0.002796,0.000000,nan,nan,nan,nan,11494.266218,214,0.000e+00
female,1965,31,9.317802,0.186052,-0.023420,0.000000,8.960163,0.260996,-0.023420,0.000000,0.264063,0.829571,0.020235,0.004589,0.006888,0.003580,0.002591,0.000000,0.007881,0.008912,0.002591,0.000000,nan,nan,nan,nan,11045.914490,214,0.000e+00
female,1966,31,9.366728,0.175682,-0.016364,0.000000,9.043745,0.228047,-0.016364,0.000000,0.251421,0.809541,0.004518,0.003654,0.006634,0.003458,0.002608,0.000000,0.007359,0.008913,0.002608,0.000000,nan,nan,nan,nan,13559.431041,214,0.000e+00
