sex,cohort,n_ages,g0,g1,g2,g3,g0_raw,g1_raw,g2_raw,g3_raw,rmse,max_abs_resid,sdlog_gap,max_censored_share
female,1957,31,9.466578,0.228867,-0.040391,-0.021519,9.085129,0.192856,0.062898,-0.021519,0.019304,0.042961,-0.018588,0.000485
female,1958,31,9.470026,0.228242,-0.042639,-0.016096,9.061611,0.241071,0.034621,-0.016096,0.019291,0.048467,-0.028154,0.000479
female,1959,31,9.481305,0.229603,-0.045685,-0.016497,9.064560,0.249096,0.033501,-0.016497,0.018567,0.037960,-0.019281,0.000441
female,1960,31,9.493319,0.221807,-0.040554,-0.018191,9.109120,0.211873,0.046763,-0.018191,0.021742,0.057560,-0.031825,0.000315
female,1961,31,9.523000,0.213376,-0.049045,-0.012932,9.109010,0.271006,0.013027,-0.012932,0.015917,0.035550,-0.032936,0.000431
female,1962,31,9.535687,0.247732,-0.042325,-0.032289,9.163220,0.135192,0.112662,-0.032289,0.021784,0.059142,-0.038796,0.000454
female,1963,31,9.558231,0.234493,-0.050530,-0.032391,9.186359,0.147425,0.104948,-0.032391,0.019720,0.064574,-0.041934,0.000431
female,1964,31,9.541292,0.237160,-0.032626,-0.036912,9.229505,0.058080,0.144551,-0.036912,0.022198,0.059530,-0.041449,0.000454
female,1965,31,9.565399,0.234781,-0.043561,-0.043602,9.256825,0.039316,0.165727,-0.043602,0.018908,0.062822,-0.047156,0.000397
female,1966,31,9.591320,0.241225,-0.033800,-0.044834,9.302474,0.005056,0.181405,-0.044834,0.020385,0.048592,-0.065129,0.000304
female,1967,31,9.617910,0.222840,-0.034637,-0.038399,9.329978,0.038773,0.149679,-0.038399,0.020635,0.040632,-0.066577,0.000257
female,1968,31,9.626866,0.222239,-0.021364,-0.036479,9.366009,0.010447,0.153734,-0.036479,0.024051,0.054807,-0.074817,0.000279
female,1969,31,9.633168,0.235667,-0.019010,-0.041207,9.376218,-0.019968,0.178782,-0.041207,0.028920,0.060482,-0.075550,0.000397
female,1970,31,9.673607,0.204479,-0.022888,-0.016074,9.353689,0.154268,0.054270,-0.016074,0.025563,0.053069,-0.091100,0.000277
female,1971,31,9.706314,0.195216,-0.023830,-0.005494,9.355466,0.229279,0.002541,-0.005494,0.023778,0.052935,-0.085432,0.000189
female,1972,31,9.710270,0.193296,-0.018219,-0.004189,9.371513,0.219428,0.001886,-0.004189,0.020924,0.037087,-0.097047,0.000132
female,1973,31,9.731119,0.193332,-0.020505,-0.005775,9.392949,0.214596,0.007215,-0.005775,0.017129,0.032545,-0.095545,0.000076
female,1974,31,9.762751,0.183662,-0.032998,0.000217,9.383529,0.290920,-0.034039,0.000217,0.018657,0.039811,-0.093111,0.000063
female,1975,31,9.785032,0.186903,-0.030712,-0.004727,9.426725,0.248880,-0.008023,-0.004727,0.025866,0.049057,-0.103290,0.000076
female,1976,31,9.816842,0.217377,-0.034006,-0.021898,9.471680,0.158017,0.071106,-0.021898,0.025620,0.048315,-0.108628,0.000063
female,1977,31,9.811732,0.217996,-0.029006,-0.025326,9.492417,0.116314,0.092558,-0.025326,0.026690,0.047215,-0.112582,0.000045
female,1978,31,9.823846,0.228977,-0.032157,-0.037720,9.529661,0.042192,0.148898,-0.037720,0.024341,0.044214,-0.117024,0.000044
female,1979,31,9.844745,0.222174,-0.037422,-0.035493,9.538847,0.069336,0.132946,-0.035493,0.022210,0.043308,-0.126237,0.000057
